Gene1,Gene2,EdgeWeight,Direction
AMH,AMH,0.0,AMH -> AMH
AMH,CBX2,0.0500742085604151,AMH -> CBX2
AMH,CTNNB1,0.0422460009897233,AMH -> CTNNB1
AMH,DHH,0.0770114549681755,AMH -> DHH
AMH,DKK1,0.0465384539353373,AMH -> DKK1
AMH,DMRT1,0.0583641835013238,AMH -> DMRT1
AMH,FGF9,0.0703444176174176,AMH -> FGF9
AMH,FOXL2,0.0390964265073812,AMH -> FOXL2
AMH,GATA4,0.0596668622698776,AMH -> GATA4
AMH,NR0B1,0.0686578645180234,AMH -> NR0B1
AMH,NR5A1,0.0557656878368387,AMH -> NR5A1
AMH,PGD2,0.0732199309154587,AMH -> PGD2
AMH,RSPO1,0.0479993181186051,AMH -> RSPO1
AMH,SOX9,0.0566641787671873,AMH -> SOX9
AMH,SRY,0.0463502940372331,AMH -> SRY
AMH,UGR,0.0638898520128993,AMH -> UGR
AMH,WNT4,0.0476105241586797,AMH -> WNT4
AMH,WT1mKTS,0.0534934154117699,AMH -> WT1mKTS
AMH,WT1pKTS,0.0555006139209458,AMH -> WT1pKTS
CBX2,AMH,0.0572060818862725,CBX2 -> AMH
CBX2,CBX2,0.0,CBX2 -> CBX2
CBX2,CTNNB1,0.0645637457126879,CBX2 -> CTNNB1
CBX2,DHH,0.0604348233385563,CBX2 -> DHH
CBX2,DKK1,0.0624853478921599,CBX2 -> DKK1
CBX2,DMRT1,0.0665848979945891,CBX2 -> DMRT1
CBX2,FGF9,0.0620621023368496,CBX2 -> FGF9
CBX2,FOXL2,0.0630546011335644,CBX2 -> FOXL2
CBX2,GATA4,0.0568086400858659,CBX2 -> GATA4
CBX2,NR0B1,0.0591577247825119,CBX2 -> NR0B1
CBX2,NR5A1,0.0714451582228915,CBX2 -> NR5A1
CBX2,PGD2,0.0595249581944294,CBX2 -> PGD2
CBX2,RSPO1,0.0662590139648972,CBX2 -> RSPO1
CBX2,SOX9,0.0528269914721406,CBX2 -> SOX9
CBX2,SRY,0.0610158778161404,CBX2 -> SRY
CBX2,UGR,0.0729254617388788,CBX2 -> UGR
CBX2,WNT4,0.0617016022357352,CBX2 -> WNT4
CBX2,WT1mKTS,0.0530774197003123,CBX2 -> WT1mKTS
CBX2,WT1pKTS,0.0742174638710572,CBX2 -> WT1pKTS
CTNNB1,AMH,0.0613508603685995,CTNNB1 -> AMH
CTNNB1,CBX2,0.0815237324111856,CTNNB1 -> CBX2
CTNNB1,CTNNB1,0.0,CTNNB1 -> CTNNB1
CTNNB1,DHH,0.0502202443374402,CTNNB1 -> DHH
CTNNB1,DKK1,0.098544092717679,CTNNB1 -> DKK1
CTNNB1,DMRT1,0.0912375029699398,CTNNB1 -> DMRT1
CTNNB1,FGF9,0.0464638447585033,CTNNB1 -> FGF9
CTNNB1,FOXL2,0.0894900849591655,CTNNB1 -> FOXL2
CTNNB1,GATA4,0.0557999854816848,CTNNB1 -> GATA4
CTNNB1,NR0B1,0.0560636341669739,CTNNB1 -> NR0B1
CTNNB1,NR5A1,0.0658258750929381,CTNNB1 -> NR5A1
CTNNB1,PGD2,0.062993121200998,CTNNB1 -> PGD2
CTNNB1,RSPO1,0.0963857586385871,CTNNB1 -> RSPO1
CTNNB1,SOX9,0.0677786030459887,CTNNB1 -> SOX9
CTNNB1,SRY,0.0654978267219899,CTNNB1 -> SRY
CTNNB1,UGR,0.0702578700532165,CTNNB1 -> UGR
CTNNB1,WNT4,0.0582784563967676,CTNNB1 -> WNT4
CTNNB1,WT1mKTS,0.0577393490141441,CTNNB1 -> WT1mKTS
CTNNB1,WT1pKTS,0.0586345983433415,CTNNB1 -> WT1pKTS
DHH,AMH,0.0661595429247487,DHH -> AMH
DHH,CBX2,0.0460324035261204,DHH -> CBX2
DHH,CTNNB1,0.0485152618794212,DHH -> CTNNB1
DHH,DHH,0.0,DHH -> DHH
DHH,DKK1,0.0484445965668978,DHH -> DKK1
DHH,DMRT1,0.0531088063649616,DHH -> DMRT1
DHH,FGF9,0.0646330984284261,DHH -> FGF9
DHH,FOXL2,0.0460040374903847,DHH -> FOXL2
DHH,GATA4,0.056290302982834,DHH -> GATA4
DHH,NR0B1,0.064323843090423,DHH -> NR0B1
DHH,NR5A1,0.0596817738295478,DHH -> NR5A1
DHH,PGD2,0.0879133902929786,DHH -> PGD2
DHH,RSPO1,0.0513346380667756,DHH -> RSPO1
DHH,SOX9,0.0680809496159094,DHH -> SOX9
DHH,SRY,0.0480100060914684,DHH -> SRY
DHH,UGR,0.0531202720915978,DHH -> UGR
DHH,WNT4,0.0460245013985187,DHH -> WNT4
DHH,WT1mKTS,0.0608135840246427,DHH -> WT1mKTS
DHH,WT1pKTS,0.0562128052442935,DHH -> WT1pKTS
DKK1,AMH,0.049302054324277,DKK1 -> AMH
DKK1,CBX2,0.0706012533096669,DKK1 -> CBX2
DKK1,CTNNB1,0.0794240377304632,DKK1 -> CTNNB1
DKK1,DHH,0.0503333259632075,DKK1 -> DHH
DKK1,DKK1,0.0,DKK1 -> DKK1
DKK1,DMRT1,0.1272799327934387,DKK1 -> DMRT1
DKK1,FGF9,0.0570550572146277,DKK1 -> FGF9
DKK1,FOXL2,0.0773107298061005,DKK1 -> FOXL2
DKK1,GATA4,0.0544635624817556,DKK1 -> GATA4
DKK1,NR0B1,0.0542706747659433,DKK1 -> NR0B1
DKK1,NR5A1,0.054503154890409,DKK1 -> NR5A1
DKK1,PGD2,0.0543425945561024,DKK1 -> PGD2
DKK1,RSPO1,0.0681894273924346,DKK1 -> RSPO1
DKK1,SOX9,0.0914630638002659,DKK1 -> SOX9
DKK1,SRY,0.1052316401987887,DKK1 -> SRY
DKK1,UGR,0.0641461189710389,DKK1 -> UGR
DKK1,WNT4,0.0802856813663703,DKK1 -> WNT4
DKK1,WT1mKTS,0.0538494753377684,DKK1 -> WT1mKTS
DKK1,WT1pKTS,0.0566085260730349,DKK1 -> WT1pKTS
DMRT1,AMH,0.0657282464128551,DMRT1 -> AMH
DMRT1,CBX2,0.0691226172163089,DMRT1 -> CBX2
DMRT1,CTNNB1,0.0945673534337023,DMRT1 -> CTNNB1
DMRT1,DHH,0.0654678611037444,DMRT1 -> DHH
DMRT1,DKK1,0.1951810547179755,DMRT1 -> DKK1
DMRT1,DMRT1,0.0,DMRT1 -> DMRT1
DMRT1,FGF9,0.0613348594359927,DMRT1 -> FGF9
DMRT1,FOXL2,0.0801220884680017,DMRT1 -> FOXL2
DMRT1,GATA4,0.0520240235433183,DMRT1 -> GATA4
DMRT1,NR0B1,0.0601349983034093,DMRT1 -> NR0B1
DMRT1,NR5A1,0.0579062261523642,DMRT1 -> NR5A1
DMRT1,PGD2,0.0597535074933795,DMRT1 -> PGD2
DMRT1,RSPO1,0.0742687543416266,DMRT1 -> RSPO1
DMRT1,SOX9,0.0885980735537556,DMRT1 -> SOX9
DMRT1,SRY,0.1055384531486136,DMRT1 -> SRY
DMRT1,UGR,0.0760479701721483,DMRT1 -> UGR
DMRT1,WNT4,0.0734006294024208,DMRT1 -> WNT4
