Gene1,Gene2,EdgeWeight,Direction
WT1pKTS,SRY,360,WT1pKTS -> SRY
CTNNB1,RSPO1,360,CTNNB1 -> RSPO1
NR0B1,SRY,359,NR0B1 -> SRY
WNT4,RSPO1,359,WNT4 -> RSPO1
WT1mKTS,SRY,358,WT1mKTS -> SRY
SOX9,RSPO1,357,SOX9 -> RSPO1
UGR,SRY,357,UGR -> SRY
FOXL2,FOXL2,356,FOXL2 -> FOXL2
DMRT1,DMRT1,356,DMRT1 -> DMRT1
NR5A1,FOXL2,355,NR5A1 -> FOXL2
SOX9,SOX9,355,SOX9 -> SOX9
FOXL2,SRY,354,FOXL2 -> SRY
WT1pKTS,FOXL2,353,WT1pKTS -> FOXL2
FGF9,FGF9,353,FGF9 -> FGF9
PGD2,PGD2,352,PGD2 -> PGD2
CBX2,NR5A1,352,CBX2 -> NR5A1
GATA4,SRY,351,GATA4 -> SRY
GATA4,RSPO1,350,GATA4 -> RSPO1
DKK1,DKK1,350,DKK1 -> DKK1
NR5A1,NR5A1,349,NR5A1 -> NR5A1
SRY,FOXL2,349,SRY -> FOXL2
WNT4,SRY,348,WNT4 -> SRY
CTNNB1,SRY,347,CTNNB1 -> SRY
FOXL2,CBX2,347,FOXL2 -> CBX2
SRY,WT1pKTS,346,SRY -> WT1pKTS
NR0B1,SOX9,346,NR0B1 -> SOX9
DHH,DHH,345,DHH -> DHH
UGR,CTNNB1,345,UGR -> CTNNB1
PGD2,WNT4,344,PGD2 -> WNT4
RSPO1,FOXL2,344,RSPO1 -> FOXL2
NR5A1,SRY,343,NR5A1 -> SRY
UGR,RSPO1,343,UGR -> RSPO1
WT1mKTS,CBX2,342,WT1mKTS -> CBX2
SRY,NR0B1,341,SRY -> NR0B1
CTNNB1,UGR,341,CTNNB1 -> UGR
DMRT1,RSPO1,340,DMRT1 -> RSPO1
GATA4,CBX2,339,GATA4 -> CBX2
UGR,UGR,339,UGR -> UGR
DKK1,SOX9,338,DKK1 -> SOX9
WT1mKTS,CTNNB1,338,WT1mKTS -> CTNNB1
NR5A1,CBX2,337,NR5A1 -> CBX2
UGR,WT1mKTS,337,UGR -> WT1mKTS
WT1pKTS,WT1pKTS,336,WT1pKTS -> WT1pKTS
DHH,WNT4,335,DHH -> WNT4
DKK1,WT1pKTS,335,DKK1 -> WT1pKTS
RSPO1,SRY,334,RSPO1 -> SRY
GATA4,GATA4,334,GATA4 -> GATA4
CBX2,RSPO1,333,CBX2 -> RSPO1
RSPO1,CTNNB1,333,RSPO1 -> CTNNB1
PGD2,DHH,332,PGD2 -> DHH
PGD2,WT1mKTS,332,PGD2 -> WT1mKTS
NR0B1,CBX2,331,NR0B1 -> CBX2
CBX2,CBX2,331,CBX2 -> CBX2
NR5A1,WT1pKTS,330,NR5A1 -> WT1pKTS
WT1pKTS,CBX2,330,WT1pKTS -> CBX2
SRY,RSPO1,329,SRY -> RSPO1
CBX2,DMRT1,328,CBX2 -> DMRT1
RSPO1,WT1mKTS,328,RSPO1 -> WT1mKTS
DMRT1,SRY,327,DMRT1 -> SRY
FGF9,GATA4,327,FGF9 -> GATA4
SRY,UGR,326,SRY -> UGR
AMH,AMH,325,AMH -> AMH
CTNNB1,WNT4,325,CTNNB1 -> WNT4
RSPO1,UGR,324,RSPO1 -> UGR
WT1mKTS,WT1mKTS,323,WT1mKTS -> WT1mKTS
GATA4,FOXL2,323,GATA4 -> FOXL2
SOX9,FOXL2,322,SOX9 -> FOXL2
SRY,SRY,322,SRY -> SRY
AMH,GATA4,321,AMH -> GATA4
NR0B1,WNT4,320,NR0B1 -> WNT4
CBX2,UGR,319,CBX2 -> UGR
DKK1,RSPO1,319,DKK1 -> RSPO1
PGD2,CTNNB1,318,PGD2 -> CTNNB1
DHH,PGD2,318,DHH -> PGD2
UGR,WT1pKTS,317,UGR -> WT1pKTS
PGD2,UGR,317,PGD2 -> UGR
FOXL2,NR5A1,316,FOXL2 -> NR5A1
AMH,WNT4,316,AMH -> WNT4
SRY,CTNNB1,314,SRY -> CTNNB1
AMH,NR0B1,314,AMH -> NR0B1
WNT4,NR5A1,313,WNT4 -> NR5A1
CTNNB1,FOXL2,312,CTNNB1 -> FOXL2
CTNNB1,DMRT1,312,CTNNB1 -> DMRT1
CBX2,DKK1,311,CBX2 -> DKK1
FGF9,CBX2,311,FGF9 -> CBX2
RSPO1,NR5A1,310,RSPO1 -> NR5A1
SRY,WNT4,310,SRY -> WNT4
PGD2,NR5A1,309,PGD2 -> NR5A1
DHH,CBX2,309,DHH -> CBX2
PGD2,WT1pKTS,308,PGD2 -> WT1pKTS
WNT4,CTNNB1,308,WNT4 -> CTNNB1
NR0B1,NR0B1,307,NR0B1 -> NR0B1
RSPO1,SOX9,306,RSPO1 -> SOX9
CTNNB1,DKK1,305,CTNNB1 -> DKK1
FGF9,RSPO1,304,FGF9 -> RSPO1
WNT4,DMRT1,304,WNT4 -> DMRT1
DHH,WT1pKTS,303,DHH -> WT1pKTS
NR5A1,RSPO1,302,NR5A1 -> RSPO1
GATA4,WT1mKTS,300,GATA4 -> WT1mKTS
FOXL2,UGR,299,FOXL2 -> UGR
SOX9,GATA4,299,SOX9 -> GATA4
FOXL2,RSPO1,298,FOXL2 -> RSPO1
CBX2,GATA4,298,CBX2 -> GATA4
CBX2,FOXL2,297,CBX2 -> FOXL2
NR0B1,NR5A1,296,NR0B1 -> NR5A1
RSPO1,DMRT1,296,RSPO1 -> DMRT1
UGR,GATA4,295,UGR -> GATA4
FGF9,SRY,295,FGF9 -> SRY
WNT4,DKK1,294,WNT4 -> DKK1
UGR,CBX2,294,UGR -> CBX2
DHH,GATA4,293,DHH -> GATA4
CBX2,SRY,293,CBX2 -> SRY
