Gene1,Gene2,EdgeWeight,Direction
DMRT1,DKK1,139.37087763826025,DMRT1 -> DKK1
PGD2,FGF9,132.98347647460008,PGD2 -> FGF9
UGR,CBX2,132.82134914416417,UGR -> CBX2
PGD2,AMH,129.94845825078988,PGD2 -> AMH
DKK1,DMRT1,128.69985697692218,DKK1 -> DMRT1
RSPO1,NR5A1,120.39941632504308,RSPO1 -> NR5A1
RSPO1,CTNNB1,120.2716725686732,RSPO1 -> CTNNB1
DMRT1,SRY,120.183222043561,DMRT1 -> SRY
RSPO1,WNT4,118.43688737449617,RSPO1 -> WNT4
DHH,PGD2,117.14003442992804,DHH -> PGD2
AMH,PGD2,115.36672752377886,AMH -> PGD2
FOXL2,WT1pKTS,114.35086712839774,FOXL2 -> WT1pKTS
CTNNB1,RSPO1,111.31419046638504,CTNNB1 -> RSPO1
PGD2,DHH,109.21576447408404,PGD2 -> DHH
FGF9,DHH,109.08239921618076,FGF9 -> DHH
SRY,DMRT1,105.70047506353704,SRY -> DMRT1
SOX9,AMH,105.09548775292456,SOX9 -> AMH
AMH,NR0B1,103.75638301048578,AMH -> NR0B1
CTNNB1,WNT4,102.93259915573796,CTNNB1 -> WNT4
FGF9,PGD2,102.42054688251524,FGF9 -> PGD2
CTNNB1,WT1pKTS,100.45691943855957,CTNNB1 -> WT1pKTS
SRY,UGR,100.42915647316592,SRY -> UGR
FOXL2,CTNNB1,99.44163787840864,FOXL2 -> CTNNB1
SRY,WT1pKTS,95.97967020896344,SRY -> WT1pKTS
DHH,AMH,94.90864593885492,DHH -> AMH
WNT4,RSPO1,92.07732171662848,WNT4 -> RSPO1
WT1pKTS,FOXL2,91.35272082645815,WT1pKTS -> FOXL2
WT1pKTS,CTNNB1,86.98555968152046,WT1pKTS -> CTNNB1
SRY,CTNNB1,86.95952415422907,SRY -> CTNNB1
WT1pKTS,SRY,86.171538695223,WT1pKTS -> SRY
RSPO1,FOXL2,84.59863480746542,RSPO1 -> FOXL2
PGD2,NR0B1,83.27562579881024,PGD2 -> NR0B1
SOX9,DMRT1,82.10780165673933,SOX9 -> DMRT1
AMH,FGF9,81.24458371578295,AMH -> FGF9
AMH,DHH,81.03967269673184,AMH -> DHH
NR5A1,WT1pKTS,81.01522364149419,NR5A1 -> WT1pKTS
SOX9,SRY,80.21143549861236,SOX9 -> SRY
CBX2,UGR,79.1980617889157,CBX2 -> UGR
FOXL2,RSPO1,78.45457259036338,FOXL2 -> RSPO1
CTNNB1,FOXL2,77.87603856770997,CTNNB1 -> FOXL2
SRY,DKK1,77.75859306068322,SRY -> DKK1
DMRT1,CBX2,76.94812102699025,DMRT1 -> CBX2
NR5A1,FOXL2,74.16553360142629,NR5A1 -> FOXL2
NR0B1,AMH,73.53219200139802,NR0B1 -> AMH
DKK1,WNT4,73.33629083780033,DKK1 -> WNT4
NR5A1,CBX2,72.71718227188354,NR5A1 -> CBX2
FOXL2,SRY,72.4182601578578,FOXL2 -> SRY
NR5A1,RSPO1,71.40227550880742,NR5A1 -> RSPO1
AMH,SOX9,70.7659994703684,AMH -> SOX9
WT1mKTS,GATA4,70.4740988372404,WT1mKTS -> GATA4
CBX2,NR5A1,70.37343374478638,CBX2 -> NR5A1
DHH,NR0B1,69.57740251406395,DHH -> NR0B1
WNT4,NR0B1,69.26201018491031,WNT4 -> NR0B1
CTNNB1,SRY,65.4731691642598,CTNNB1 -> SRY
GATA4,WT1mKTS,65.12569936958865,GATA4 -> WT1mKTS
RSPO1,WT1pKTS,64.85210222007858,RSPO1 -> WT1pKTS
SOX9,PGD2,64.62035486334682,SOX9 -> PGD2
DHH,SOX9,64.56979238783354,DHH -> SOX9
SRY,FOXL2,64.55255143464875,SRY -> FOXL2
DKK1,SRY,64.11140881318482,DKK1 -> SRY
NR0B1,NR5A1,63.27173771482965,NR0B1 -> NR5A1
UGR,SRY,62.38228071763235,UGR -> SRY
DHH,FGF9,62.02180753539808,DHH -> FGF9
CTNNB1,NR5A1,61.96997277036458,CTNNB1 -> NR5A1
CTNNB1,UGR,60.51711490946378,CTNNB1 -> UGR
FOXL2,NR5A1,60.22982586846596,FOXL2 -> NR5A1
SOX9,DKK1,60.19203026160029,SOX9 -> DKK1
FGF9,AMH,59.78200196857813,FGF9 -> AMH
SOX9,FGF9,59.10834910066652,SOX9 -> FGF9
DKK1,CBX2,59.01786262348661,DKK1 -> CBX2
NR5A1,WNT4,58.24240579581657,NR5A1 -> WNT4
SOX9,WNT4,57.88959669833826,SOX9 -> WNT4
SOX9,NR0B1,57.45195962968162,SOX9 -> NR0B1
DHH,DKK1,56.42696677967965,DHH -> DKK1
CBX2,DKK1,55.418825261716776,CBX2 -> DKK1
CTNNB1,DKK1,55.36050514280464,CTNNB1 -> DKK1
NR0B1,UGR,55.35235974483636,NR0B1 -> UGR
WT1pKTS,RSPO1,54.492992320536096,WT1pKTS -> RSPO1
DMRT1,SOX9,53.91019279727517,DMRT1 -> SOX9
NR5A1,NR0B1,53.50053178249718,NR5A1 -> NR0B1
FOXL2,CBX2,52.847223658709424,FOXL2 -> CBX2
NR0B1,PGD2,52.69779600012114,NR0B1 -> PGD2
RSPO1,CBX2,52.2481154602353,RSPO1 -> CBX2
NR0B1,FGF9,51.00409986210818,NR0B1 -> FGF9
NR5A1,CTNNB1,50.83179094636613,NR5A1 -> CTNNB1
CBX2,DMRT1,50.59367099429514,CBX2 -> DMRT1
WNT4,CTNNB1,49.883082619738296,WNT4 -> CTNNB1
FGF9,NR0B1,49.58713120116799,FGF9 -> NR0B1
WNT4,SOX9,49.48659495600743,WNT4 -> SOX9
WNT4,UGR,49.3299249052551,WNT4 -> UGR
NR0B1,WNT4,49.24457379553864,NR0B1 -> WNT4
RSPO1,UGR,49.056380034198845,RSPO1 -> UGR
WNT4,DMRT1,48.21495520876961,WNT4 -> DMRT1
UGR,NR0B1,47.12696653558604,UGR -> NR0B1
RSPO1,SOX9,46.71803283139303,RSPO1 -> SOX9
FGF9,SOX9,46.706219162381366,FGF9 -> SOX9
NR0B1,DHH,46.31820941615887,NR0B1 -> DHH
FGF9,SRY,46.23745010336296,FGF9 -> SRY
SOX9,CTNNB1,46.08338439073797,SOX9 -> CTNNB1
NR0B1,RSPO1,45.94248937550704,NR0B1 -> RSPO1
SRY,NR5A1,45.60639216423873,SRY -> NR5A1
DKK1,UGR,44.90110017153787,DKK1 -> UGR
WNT4,FOXL2,44.79589213316679,WNT4 -> FOXL2
DKK1,WT1pKTS,44.06036673769015,DKK1 -> WT1pKTS
CTNNB1,DMRT1,43.94147403056069,CTNNB1 -> DMRT1
SRY,CBX2,43.9010285248963,SRY -> CBX2
WT1pKTS,NR5A1,43.20738324278585,WT1pKTS -> NR5A1
NR0B1,CBX2,42.74480316681496,NR0B1 -> CBX2
WNT4,NR5A1,42.522964135907976,WNT4 -> NR5A1
PGD2,SOX9,42.49033986604698,PGD2 -> SOX9
DMRT1,PGD2,41.52836396547836,DMRT1 -> PGD2
WNT4,AMH,41.395764264203294,WNT4 -> AMH
DMRT1,UGR,41.311128876164304,DMRT1 -> UGR
DKK1,CTNNB1,41.27300279026143,DKK1 -> CTNNB1
SOX9,CBX2,40.40981652359834,SOX9 -> CBX2
DKK1,FOXL2,40.33745596169595,DKK1 -> FOXL2
DMRT1,WNT4,40.32885609564031,DMRT1 -> WNT4
UGR,WNT4,40.264099422587634,UGR -> WNT4
FGF9,DMRT1,39.801184982421816,FGF9 -> DMRT1
DMRT1,FGF9,39.79385375582443,DMRT1 -> FGF9
PGD2,NR5A1,38.941619238050365,PGD2 -> NR5A1
DMRT1,WT1pKTS,38.84525473557789,DMRT1 -> WT1pKTS
WNT4,DKK1,38.79993115692693,WNT4 -> DKK1
PGD2,SRY,38.43601451139325,PGD2 -> SRY
NR5A1,SRY,37.91807827334733,NR5A1 -> SRY
WT1pKTS,CBX2,37.81415634912292,WT1pKTS -> CBX2
AMH,DKK1,37.57297027328301,AMH -> DKK1
CTNNB1,NR0B1,37.372922605715225,CTNNB1 -> NR0B1
DHH,NR5A1,37.2487851318339,DHH -> NR5A1
FOXL2,DMRT1,37.0894182993799,FOXL2 -> DMRT1
DKK1,PGD2,36.91157043664217,DKK1 -> PGD2
CTNNB1,CBX2,36.71943190989416,CTNNB1 -> CBX2
FOXL2,DKK1,36.05292532267384,FOXL2 -> DKK1
FGF9,WNT4,35.87535360435726,FGF9 -> WNT4
SOX9,RSPO1,35.77711471930418,SOX9 -> RSPO1
DMRT1,FOXL2,35.66770942803181,DMRT1 -> FOXL2
RSPO1,NR0B1,35.13559809585594,RSPO1 -> NR0B1
WNT4,CBX2,34.70816929851948,WNT4 -> CBX2
DKK1,SOX9,34.44252786327907,DKK1 -> SOX9
PGD2,DKK1,34.39955155932577,PGD2 -> DKK1
DMRT1,RSPO1,34.244934544653944,DMRT1 -> RSPO1
DKK1,FGF9,33.644975247699875,DKK1 -> FGF9
SOX9,DHH,33.60023842507646,SOX9 -> DHH
SRY,WNT4,33.498995704407925,SRY -> WNT4
DMRT1,CTNNB1,33.06520622525575,DMRT1 -> CTNNB1
AMH,WNT4,32.8398470205727,AMH -> WNT4
FGF9,RSPO1,32.83739121341263,FGF9 -> RSPO1
CBX2,RSPO1,32.118896131917424,CBX2 -> RSPO1
NR5A1,DMRT1,32.10383430195275,NR5A1 -> DMRT1
WNT4,DHH,31.97875414265533,WNT4 -> DHH
UGR,NR5A1,31.684227678315924,UGR -> NR5A1
RSPO1,SRY,31.33485183025625,RSPO1 -> SRY
PGD2,CBX2,31.170819218763665,PGD2 -> CBX2
NR5A1,FGF9,30.97870089852972,NR5A1 -> FGF9
SOX9,NR5A1,30.84303178623993,SOX9 -> NR5A1
WNT4,FGF9,30.680918397020783,WNT4 -> FGF9
UGR,GATA4,30.41587723667357,UGR -> GATA4
CTNNB1,SOX9,30.328954534291093,CTNNB1 -> SOX9
FGF9,NR5A1,30.2911629391355,FGF9 -> NR5A1
WNT4,PGD2,29.834789044871453,WNT4 -> PGD2
SRY,SOX9,29.820789063307448,SRY -> SOX9
WT1pKTS,DKK1,29.65169768255393,WT1pKTS -> DKK1
UGR,DKK1,29.402496026556072,UGR -> DKK1
AMH,DMRT1,28.99403390723216,AMH -> DMRT1
WT1pKTS,WNT4,28.73176225592097,WT1pKTS -> WNT4
UGR,DMRT1,28.67950318265789,UGR -> DMRT1
CBX2,NR0B1,28.54985524610363,CBX2 -> NR0B1
SRY,RSPO1,28.541656194610862,SRY -> RSPO1
SRY,AMH,28.477567639809667,SRY -> AMH
DMRT1,DHH,28.34935420947229,DMRT1 -> DHH
AMH,NR5A1,28.04526936703881,AMH -> NR5A1
WNT4,SRY,27.97716955312232,WNT4 -> SRY
NR5A1,AMH,27.778939010531484,NR5A1 -> AMH
DKK1,AMH,26.82832032236673,DKK1 -> AMH
NR5A1,UGR,26.824718802593864,NR5A1 -> UGR
AMH,CBX2,26.441619010468077,AMH -> CBX2
FOXL2,WNT4,26.42617142904577,FOXL2 -> WNT4
RSPO1,FGF9,26.251380372382787,RSPO1 -> FGF9
WT1pKTS,UGR,26.24618056196693,WT1pKTS -> UGR
FOXL2,NR0B1,26.181059866932387,FOXL2 -> NR0B1
DHH,WNT4,25.86600214280468,DHH -> WNT4
CBX2,SRY,25.6236215932538,CBX2 -> SRY
PGD2,DMRT1,25.60625182757327,PGD2 -> DMRT1
CBX2,WT1pKTS,25.28706231458195,CBX2 -> WT1pKTS
NR5A1,SOX9,25.28146059638797,NR5A1 -> SOX9
NR0B1,CTNNB1,25.21839006690377,NR0B1 -> CTNNB1
CBX2,CTNNB1,25.169456348544003,CBX2 -> CTNNB1
DMRT1,NR0B1,24.32937469925109,DMRT1 -> NR0B1
DHH,SRY,24.21696772109309,DHH -> SRY
WT1pKTS,WT1mKTS,23.98516537384488,WT1pKTS -> WT1mKTS
CBX2,FOXL2,23.984712393377237,CBX2 -> FOXL2
CBX2,AMH,23.89589398005613,CBX2 -> AMH
NR0B1,GATA4,23.731913680102096,NR0B1 -> GATA4
RSPO1,DKK1,23.70252048527399,RSPO1 -> DKK1
SOX9,WT1pKTS,23.622948831336604,SOX9 -> WT1pKTS
SOX9,UGR,23.536194422196388,SOX9 -> UGR
DKK1,NR5A1,23.16843350831708,DKK1 -> NR5A1
DMRT1,AMH,23.049045775795346,DMRT1 -> AMH
SRY,NR0B1,23.02794593043789,SRY -> NR0B1
NR0B1,SRY,22.99759079245523,NR0B1 -> SRY
DHH,RSPO1,22.676823806220742,DHH -> RSPO1
UGR,RSPO1,22.53105475889672,UGR -> RSPO1
WT1pKTS,GATA4,22.37782857176389,WT1pKTS -> GATA4
DHH,CBX2,22.203211808601765,DHH -> CBX2
FOXL2,UGR,22.09290601634179,FOXL2 -> UGR
PGD2,WNT4,21.76707313454664,PGD2 -> WNT4
RSPO1,AMH,21.494596111080927,RSPO1 -> AMH
DHH,DMRT1,21.265310647830027,DHH -> DMRT1
CBX2,FGF9,21.06463094253565,CBX2 -> FGF9
CBX2,WNT4,20.62180452445858,CBX2 -> WNT4
NR0B1,SOX9,20.51872524224525,NR0B1 -> SOX9
WT1pKTS,NR0B1,20.5055665978259,WT1pKTS -> NR0B1
PGD2,RSPO1,20.397328302050845,PGD2 -> RSPO1
UGR,CTNNB1,20.28418724419641,UGR -> CTNNB1
FGF9,CBX2,19.913633823092805,FGF9 -> CBX2
UGR,FOXL2,19.78489826471888,UGR -> FOXL2
RSPO1,DMRT1,19.627990132148856,RSPO1 -> DMRT1
CTNNB1,FGF9,19.597637755022248,CTNNB1 -> FGF9
AMH,RSPO1,19.466548724091663,AMH -> RSPO1
CBX2,WT1mKTS,19.34155502817163,CBX2 -> WT1mKTS
WT1pKTS,DMRT1,19.06552552132899,WT1pKTS -> DMRT1
CTNNB1,PGD2,18.901220580051824,CTNNB1 -> PGD2
CTNNB1,AMH,18.87833567949672,CTNNB1 -> AMH
SRY,DHH,18.85708291927921,SRY -> DHH
WNT4,WT1pKTS,18.62545909448744,WNT4 -> WT1pKTS
UGR,WT1mKTS,18.46248228652082,UGR -> WT1mKTS
WNT4,GATA4,18.441966171793293,WNT4 -> GATA4
NR0B1,WT1pKTS,18.04680835700891,NR0B1 -> WT1pKTS
SOX9,FOXL2,17.84919627711647,SOX9 -> FOXL2
DMRT1,NR5A1,17.77307763404759,DMRT1 -> NR5A1
RSPO1,PGD2,17.591849920821208,RSPO1 -> PGD2
FGF9,DKK1,17.478395990203992,FGF9 -> DKK1
SRY,FGF9,17.388224983654116,SRY -> FGF9
DKK1,RSPO1,17.314973266903767,DKK1 -> RSPO1
CBX2,GATA4,16.64941698013694,CBX2 -> GATA4
DHH,UGR,16.593133153321713,DHH -> UGR
AMH,CTNNB1,16.245973799587762,AMH -> CTNNB1
AMH,SRY,16.236772599014188,AMH -> SRY
CBX2,SOX9,16.184779357180446,CBX2 -> SOX9
DHH,FOXL2,16.179670874471267,DHH -> FOXL2
AMH,WT1pKTS,16.126151679957285,AMH -> WT1pKTS
NR5A1,DKK1,16.055198228036023,NR5A1 -> DKK1
DKK1,NR0B1,16.04231230861691,DKK1 -> NR0B1
CTNNB1,DHH,15.7204583803216,CTNNB1 -> DHH
WT1mKTS,UGR,15.51117957682219,WT1mKTS -> UGR
DMRT1,WT1mKTS,15.453810113698124,DMRT1 -> WT1mKTS
FOXL2,DHH,15.449536154114844,FOXL2 -> DHH
FGF9,CTNNB1,15.237172298413016,FGF9 -> CTNNB1
UGR,AMH,15.150642229109929,UGR -> AMH
NR0B1,WT1mKTS,14.784891228324376,NR0B1 -> WT1mKTS
UGR,SOX9,14.369254399291163,UGR -> SOX9
DKK1,DHH,14.133152772115189,DKK1 -> DHH
UGR,WT1pKTS,14.083267557173825,UGR -> WT1pKTS
SRY,GATA4,14.051145233543972,SRY -> GATA4
NR5A1,PGD2,14.022759524805382,NR5A1 -> PGD2
CBX2,PGD2,13.888075055299954,CBX2 -> PGD2
FOXL2,PGD2,13.838596504396026,FOXL2 -> PGD2
NR5A1,GATA4,13.83426413014467,NR5A1 -> GATA4
WNT4,WT1mKTS,13.78351411788566,WNT4 -> WT1mKTS
RSPO1,DHH,13.760598172571752,RSPO1 -> DHH
NR5A1,WT1mKTS,13.128553848551388,NR5A1 -> WT1mKTS
NR5A1,DHH,12.992587785769866,NR5A1 -> DHH
NR0B1,DKK1,12.832672938670616,NR0B1 -> DKK1
GATA4,UGR,12.596891027540606,GATA4 -> UGR
CTNNB1,GATA4,12.577471109598534,CTNNB1 -> GATA4
AMH,UGR,12.557243742301704,AMH -> UGR
DMRT1,GATA4,12.284995057490327,DMRT1 -> GATA4
AMH,GATA4,12.139836623206694,AMH -> GATA4
CBX2,DHH,12.132661144301233,CBX2 -> DHH
PGD2,CTNNB1,11.995839496438446,PGD2 -> CTNNB1
WT1pKTS,AMH,11.853150471049714,WT1pKTS -> AMH
FGF9,UGR,11.846669786921805,FGF9 -> UGR
DKK1,WT1mKTS,11.84040352130211,DKK1 -> WT1mKTS
RSPO1,GATA4,11.80459240139198,RSPO1 -> GATA4
SOX9,WT1mKTS,11.611636453188645,SOX9 -> WT1mKTS
RSPO1,WT1mKTS,11.517713536615537,RSPO1 -> WT1mKTS
WT1pKTS,SOX9,11.478677386750476,WT1pKTS -> SOX9
DKK1,GATA4,11.452517427512516,DKK1 -> GATA4
FOXL2,FGF9,11.435562742144402,FOXL2 -> FGF9
