Gene1,Gene2,EdgeWeight,Direction
WT1pKTS,WT1pKTS,1.0,WT1pKTS -> WT1pKTS
UGR,UGR,1.0,UGR -> UGR
NR0B1,SRY,1.0,NR0B1 -> SRY
CBX2,RSPO1,1.0,CBX2 -> RSPO1
CTNNB1,SRY,1.0,CTNNB1 -> SRY
SOX9,SOX9,1.0,SOX9 -> SOX9
SRY,SRY,1.0,SRY -> SRY
NR0B1,UGR,1.0,NR0B1 -> UGR
FOXL2,WNT4,1.0,FOXL2 -> WNT4
WNT4,WNT4,1.0,WNT4 -> WNT4
NR0B1,WNT4,1.0,NR0B1 -> WNT4
UGR,WT1mKTS,1.0,UGR -> WT1mKTS
WT1pKTS,WT1mKTS,1.0,WT1pKTS -> WT1mKTS
UGR,WNT4,1.0,UGR -> WNT4
WT1pKTS,WNT4,1.0,WT1pKTS -> WNT4
CBX2,WT1pKTS,1.0,CBX2 -> WT1pKTS
SRY,SRY,1.0,SRY -> SRY
UGR,SRY,1.0,UGR -> SRY
GATA4,WT1mKTS,1.0,GATA4 -> WT1mKTS
NR0B1,UGR,1.0,NR0B1 -> UGR
CBX2,WNT4,1.0,CBX2 -> WNT4
FOXL2,FOXL2,1.0,FOXL2 -> FOXL2
GATA4,GATA4,1.0,GATA4 -> GATA4
NR5A1,GATA4,1.0,NR5A1 -> GATA4
FOXL2,NR0B1,1.0,FOXL2 -> NR0B1
NR0B1,NR0B1,1.0,NR0B1 -> NR0B1
UGR,NR0B1,1.0,UGR -> NR0B1
WNT4,SRY,1.0,WNT4 -> SRY
WT1mKTS,NR0B1,1.0,WT1mKTS -> NR0B1
NR5A1,NR5A1,1.0,NR5A1 -> NR5A1
UGR,WNT4,1.0,UGR -> WNT4
SRY,NR5A1,1.0,SRY -> NR5A1
UGR,NR5A1,1.0,UGR -> NR5A1
CBX2,UGR,1.0,CBX2 -> UGR
WT1mKTS,UGR,1.0,WT1mKTS -> UGR
FOXL2,WT1mKTS,1.0,FOXL2 -> WT1mKTS
NR5A1,CBX2,1.0,NR5A1 -> CBX2
UGR,CBX2,1.0,UGR -> CBX2
NR0B1,NR0B1,1.0,NR0B1 -> NR0B1
WT1mKTS,WT1pKTS,1.0,WT1mKTS -> WT1pKTS
UGR,WT1pKTS,1.0,UGR -> WT1pKTS
WT1pKTS,GATA4,1.0,WT1pKTS -> GATA4
CBX2,GATA4,1.0,CBX2 -> GATA4
CBX2,NR5A1,1.0,CBX2 -> NR5A1
RSPO1,NR5A1,1.0,RSPO1 -> NR5A1
CBX2,CBX2,1.0,CBX2 -> CBX2
DMRT1,DMRT1,1.0,DMRT1 -> DMRT1
DKK1,DMRT1,1.0,DKK1 -> DMRT1
