Gene1,Gene2,EdgeWeight,Direction
AMH,AMH,0.0,AMH -> AMH
AMH,CBX2,0.4687909056376648,AMH -> CBX2
AMH,CTNNB1,0.984638392319139,AMH -> CTNNB1
AMH,DHH,0.9880086154107766,AMH -> DHH
AMH,DKK1,0.9844712337883668,AMH -> DKK1
AMH,DMRT1,0.9880797054084988,AMH -> DMRT1
AMH,FGF9,0.9870324699561576,AMH -> FGF9
AMH,FOXL2,0.9894920572159286,AMH -> FOXL2
AMH,GATA4,0.454379396609452,AMH -> GATA4
AMH,NR0B1,0.9887491560616308,AMH -> NR0B1
AMH,NR5A1,0.4481565876542301,AMH -> NR5A1
AMH,PGD2,0.9889794155498988,AMH -> PGD2
AMH,RSPO1,0.98958828382721,AMH -> RSPO1
AMH,SOX9,0.9822667716644172,AMH -> SOX9
AMH,SRY,0.9874926880491142,AMH -> SRY
AMH,UGR,0.41272565652369,AMH -> UGR
AMH,WNT4,0.9889210271300504,AMH -> WNT4
AMH,WT1mKTS,0.4662615392841951,AMH -> WT1mKTS
AMH,WT1pKTS,0.4774150126119156,AMH -> WT1pKTS
CBX2,AMH,0.5328435515272286,CBX2 -> AMH
CBX2,CBX2,0.0,CBX2 -> CBX2
CBX2,CTNNB1,0.5276581899723572,CBX2 -> CTNNB1
CBX2,DHH,0.5341315172764557,CBX2 -> DHH
CBX2,DKK1,0.5350399489156068,CBX2 -> DKK1
CBX2,DMRT1,0.5342847259742723,CBX2 -> DMRT1
CBX2,FGF9,0.5317193379987112,CBX2 -> FGF9
CBX2,FOXL2,0.5343491044879934,CBX2 -> FOXL2
CBX2,GATA4,0.8301124271204193,CBX2 -> GATA4
CBX2,NR0B1,0.5338324025635222,CBX2 -> NR0B1
CBX2,NR5A1,0.8769216393353693,CBX2 -> NR5A1
CBX2,PGD2,0.5339122825797882,CBX2 -> PGD2
CBX2,RSPO1,0.5310467406433732,CBX2 -> RSPO1
CBX2,SOX9,0.5367798315066464,CBX2 -> SOX9
CBX2,SRY,0.5338666472523675,CBX2 -> SRY
