Gene1,Gene2,EdgeWeight,Direction
FGF9,PGD2,0.955382542757848,FGF9 -> PGD2
PGD2,FGF9,0.955382542757848,PGD2 -> FGF9
PGD2,DHH,0.952481220724541,PGD2 -> DHH
DHH,PGD2,0.952481220724541,DHH -> PGD2
FGF9,DHH,0.952347350934051,FGF9 -> DHH
DHH,FGF9,0.952347350934051,DHH -> FGF9
PGD2,AMH,0.947255376516553,PGD2 -> AMH
AMH,PGD2,0.947255376516553,AMH -> PGD2
DHH,AMH,0.94524255338059,DHH -> AMH
AMH,DHH,0.94524255338059,AMH -> DHH
FGF9,AMH,0.943737550738425,FGF9 -> AMH
AMH,FGF9,0.943737550738425,AMH -> FGF9
FOXL2,WT1pKTS,0.927368313858184,FOXL2 -> WT1pKTS
WT1pKTS,FOXL2,0.927368313858184,WT1pKTS -> FOXL2
DMRT1,DKK1,0.926439800883533,DMRT1 -> DKK1
DKK1,DMRT1,0.926439800883533,DKK1 -> DMRT1
CBX2,DMRT1,0.874715380223692,CBX2 -> DMRT1
DMRT1,CBX2,0.874715380223692,DMRT1 -> CBX2
UGR,CBX2,0.86880267992523,UGR -> CBX2
CBX2,DKK1,0.868782793823504,CBX2 -> DKK1
DKK1,CBX2,0.868782793823504,DKK1 -> CBX2
RSPO1,CTNNB1,0.867291196259832,RSPO1 -> CTNNB1
CTNNB1,RSPO1,0.867291196259832,CTNNB1 -> RSPO1
CBX2,NR5A1,0.865172827641925,CBX2 -> NR5A1
NR5A1,RSPO1,0.856973437739773,NR5A1 -> RSPO1
RSPO1,NR5A1,0.856973437739773,RSPO1 -> NR5A1
SRY,UGR,0.851001984539358,SRY -> UGR
UGR,SRY,0.851001984539358,UGR -> SRY
CBX2,WNT4,0.850875055787068,CBX2 -> WNT4
NR5A1,CTNNB1,0.846840732095209,NR5A1 -> CTNNB1
CTNNB1,NR5A1,0.846840732095209,CTNNB1 -> NR5A1
DMRT1,WNT4,0.83628229215217,DMRT1 -> WNT4
NR5A1,CBX2,0.834084182699141,NR5A1 -> CBX2
UGR,NR5A1,0.83391205700691,UGR -> NR5A1
DKK1,WNT4,0.825484176777355,DKK1 -> WNT4
SRY,CBX2,0.822553670307745,SRY -> CBX2
RSPO1,CBX2,0.821942220654987,RSPO1 -> CBX2
NR0B1,UGR,0.821893780487048,NR0B1 -> UGR
SOX9,DHH,0.819762465034321,SOX9 -> DHH
CBX2,RSPO1,0.819270750764588,CBX2 -> RSPO1
SOX9,PGD2,0.818455694137959,SOX9 -> PGD2
UGR,NR0B1,0.815916439097687,UGR -> NR0B1
SOX9,FGF9,0.815812761261018,SOX9 -> FGF9
NR5A1,WT1pKTS,0.813149248803096,NR5A1 -> WT1pKTS
SOX9,AMH,0.812401022023413,SOX9 -> AMH
UGR,DMRT1,0.803249184279946,UGR -> DMRT1
CTNNB1,CBX2,0.800369465968424,CTNNB1 -> CBX2
WNT4,UGR,0.798777612771428,WNT4 -> UGR
CBX2,CTNNB1,0.797887430636174,CBX2 -> CTNNB1
UGR,RSPO1,0.79388240326068,UGR -> RSPO1
