Gene1,Gene2,EdgeWeight,Direction
CBX2,UGR,1.998675609997812,CBX2 -> UGR
UGR,CBX2,1.998675609997812,UGR -> CBX2
GATA4,WT1mKTS,1.995792163278856,GATA4 -> WT1mKTS
WT1mKTS,GATA4,1.995792163278856,WT1mKTS -> GATA4
DKK1,DMRT1,1.9753776059467032,DKK1 -> DMRT1
DMRT1,DKK1,1.9753776059467032,DMRT1 -> DKK1
FOXL2,WT1pKTS,1.9410461330412303,FOXL2 -> WT1pKTS
WT1pKTS,FOXL2,1.9410461330412303,WT1pKTS -> FOXL2
DKK1,SRY,1.9034374345829632,DKK1 -> SRY
SRY,DKK1,1.9034374345829632,SRY -> DKK1
FGF9,PGD2,1.8885557402146216,FGF9 -> PGD2
PGD2,FGF9,1.8885557402146216,PGD2 -> FGF9
AMH,PGD2,1.8885056358383967,AMH -> PGD2
PGD2,AMH,1.8885056358383967,PGD2 -> AMH
DMRT1,SRY,1.8862041775484848,DMRT1 -> SRY
SRY,DMRT1,1.8862041775484848,SRY -> DMRT1
DHH,PGD2,1.8850244856510607,DHH -> PGD2
PGD2,DHH,1.8850244856510607,PGD2 -> DHH
AMH,FGF9,1.874708803936005,AMH -> FGF9
FGF9,AMH,1.874708803936005,FGF9 -> AMH
NR5A1,RSPO1,1.8739037188778933,NR5A1 -> RSPO1
RSPO1,NR5A1,1.8739037188778933,RSPO1 -> NR5A1
DHH,FGF9,1.8697239135739097,DHH -> FGF9
FGF9,DHH,1.8697239135739097,FGF9 -> DHH
CTNNB1,RSPO1,1.8691949495396685,CTNNB1 -> RSPO1
RSPO1,CTNNB1,1.8691949495396685,RSPO1 -> CTNNB1
AMH,DHH,1.8690659328003687,AMH -> DHH
DHH,AMH,1.8690659328003687,DHH -> AMH
CTNNB1,FOXL2,1.8338779571252,CTNNB1 -> FOXL2
FOXL2,CTNNB1,1.8338779571252,FOXL2 -> CTNNB1
FOXL2,NR5A1,1.8336339940800648,FOXL2 -> NR5A1
NR5A1,FOXL2,1.8336339940800648,NR5A1 -> FOXL2
NR5A1,WT1pKTS,1.8262143129794155,NR5A1 -> WT1pKTS
WT1pKTS,NR5A1,1.8262143129794155,WT1pKTS -> NR5A1
RSPO1,WNT4,1.8225845285058144,RSPO1 -> WNT4
WNT4,RSPO1,1.8225845285058144,WNT4 -> RSPO1
CTNNB1,WT1pKTS,1.8106196505920888,CTNNB1 -> WT1pKTS
WT1pKTS,CTNNB1,1.8106196505920888,WT1pKTS -> CTNNB1
NR0B1,WNT4,1.787869192489404,NR0B1 -> WNT4
WNT4,NR0B1,1.787869192489404,WNT4 -> NR0B1
DKK1,SOX9,1.757437197573407,DKK1 -> SOX9
SOX9,DKK1,1.757437197573407,SOX9 -> DKK1
SRY,WT1pKTS,1.752932680429904,SRY -> WT1pKTS
WT1pKTS,SRY,1.752932680429904,WT1pKTS -> SRY
DMRT1,SOX9,1.7424198905707329,DMRT1 -> SOX9
SOX9,DMRT1,1.7424198905707329,SOX9 -> DMRT1
AMH,NR0B1,1.73673074132865,AMH -> NR0B1
NR0B1,AMH,1.73673074132865,NR0B1 -> AMH
CTNNB1,NR5A1,1.7318102314005617,CTNNB1 -> NR5A1
NR5A1,CTNNB1,1.7318102314005617,NR5A1 -> CTNNB1
FOXL2,RSPO1,1.7266749513700106,FOXL2 -> RSPO1
