Gene1,Gene2,EdgeWeight,Direction
FGF9,CTNNB1,6.0,FGF9 -> CTNNB1
FOXL2,NR0B1,6.0,FOXL2 -> NR0B1
FGF9,CBX2,1.5,FGF9 -> CBX2
FOXL2,DHH,1.5,FOXL2 -> DHH
FGF9,WT1pKTS,0.66666,FGF9 -> WT1pKTS
FOXL2,AMH,0.66666,FOXL2 -> AMH
FOXL2,FGF9,0.375,FOXL2 -> FGF9
FGF9,UGR,0.375,FGF9 -> UGR
FOXL2,DMRT1,0.24,FOXL2 -> DMRT1
FGF9,RSPO1,0.24,FGF9 -> RSPO1
FOXL2,PGD2,0.16666,FOXL2 -> PGD2
DHH,NR5A1,0.16666,DHH -> NR5A1
FOXL2,SRY,0.12244,FOXL2 -> SRY
DHH,WT1pKTS,0.12244,DHH -> WT1pKTS
FOXL2,SOX9,0.09375,FOXL2 -> SOX9
FGF9,NR5A1,0.09375,FGF9 -> NR5A1
PGD2,WT1pKTS,0.07407,PGD2 -> WT1pKTS
FOXL2,NR5A1,0.07407,FOXL2 -> NR5A1
FOXL2,WNT4,0.06,FOXL2 -> WNT4
PGD2,CBX2,0.06,PGD2 -> CBX2
FOXL2,RSPO1,0.04958,FOXL2 -> RSPO1
FGF9,NR0B1,0.04958,FGF9 -> NR0B1
DHH,CBX2,0.04166,DHH -> CBX2
CTNNB1,NR5A1,0.04166,CTNNB1 -> NR5A1
FOXL2,CBX2,0.0355,FOXL2 -> CBX2
PGD2,RSPO1,0.0355,PGD2 -> RSPO1
WT1mKTS,SOX9,0.03061,WT1mKTS -> SOX9
FGF9,WNT4,0.03061,FGF9 -> WNT4
WT1mKTS,FGF9,0.02666,WT1mKTS -> FGF9
PGD2,GATA4,0.02666,PGD2 -> GATA4
UGR,FOXL2,0.02343,UGR -> FOXL2
WT1mKTS,PGD2,0.02343,WT1mKTS -> PGD2
WT1mKTS,DHH,0.02076,WT1mKTS -> DHH
UGR,WT1pKTS,0.02076,UGR -> WT1pKTS
PGD2,NR0B1,0.01851,PGD2 -> NR0B1
WT1mKTS,AMH,0.01851,WT1mKTS -> AMH
CTNNB1,NR0B1,0.01662,CTNNB1 -> NR0B1
SOX9,NR5A1,0.01662,SOX9 -> NR5A1
GATA4,NR5A1,0.015,GATA4 -> NR5A1
SOX9,CBX2,0.015,SOX9 -> CBX2
AMH,CBX2,0.0136,AMH -> CBX2
CTNNB1,CBX2,0.0136,CTNNB1 -> CBX2
SOX9,RSPO1,0.01239,SOX9 -> RSPO1
WT1mKTS,NR0B1,0.01239,WT1mKTS -> NR0B1
WT1pKTS,WNT4,0.01134,WT1pKTS -> WNT4
AMH,UGR,0.01134,AMH -> UGR
CTNNB1,FGF9,0.01041,CTNNB1 -> FGF9
PGD2,FOXL2,0.01041,PGD2 -> FOXL2
FOXL2,DKK1,0.0096,FOXL2 -> DKK1
AMH,FOXL2,0.0096,AMH -> FOXL2
WT1mKTS,WNT4,0.00887,WT1mKTS -> WNT4
DHH,CTNNB1,0.00887,DHH -> CTNNB1
FOXL2,CTNNB1,0.00823,FOXL2 -> CTNNB1
PGD2,NR5A1,0.00823,PGD2 -> NR5A1
PGD2,UGR,0.00765,PGD2 -> UGR
CTNNB1,DMRT1,0.00765,CTNNB1 -> DMRT1
UGR,CBX2,0.00713,UGR -> CBX2
SOX9,FOXL2,0.00713,SOX9 -> FOXL2
PGD2,CTNNB1,0.00666,PGD2 -> CTNNB1
CTNNB1,DHH,0.00666,CTNNB1 -> DHH
DHH,FOXL2,0.00624,DHH -> FOXL2
WT1mKTS,RSPO1,0.00624,WT1mKTS -> RSPO1
FGF9,FOXL2,0.00585,FGF9 -> FOXL2
CTNNB1,AMH,0.00585,CTNNB1 -> AMH
DHH,UGR,0.0055,DHH -> UGR
WT1pKTS,DHH,0.0055,WT1pKTS -> DHH
DHH,RSPO1,0.00519,DHH -> RSPO1
WT1mKTS,DMRT1,0.00489,WT1mKTS -> DMRT1
GATA4,FGF9,0.00462,GATA4 -> FGF9
AMH,WNT4,0.00462,AMH -> WNT4
DHH,NR0B1,0.00438,DHH -> NR0B1
CTNNB1,PGD2,0.00438,CTNNB1 -> PGD2
SOX9,WT1pKTS,0.00415,SOX9 -> WT1pKTS
GATA4,WNT4,0.00415,GATA4 -> WNT4
GATA4,DHH,0.00394,GATA4 -> DHH
AMH,NR5A1,0.00394,AMH -> NR5A1
AMH,SRY,0.00375,AMH -> SRY
WT1pKTS,SOX9,0.00375,WT1pKTS -> SOX9
FOXL2,GATA4,0.00356,FOXL2 -> GATA4
