Gene1,Gene2,EdgeWeight,Direction
AMH,CBX2,0.005005737839329,AMH -> CBX2
AMH,CTNNB1,0.0066082812505253,AMH -> CTNNB1
AMH,DHH,0.1199288276111256,AMH -> DHH
AMH,DKK1,0.0335366392272962,AMH -> DKK1
AMH,DMRT1,0.0209597329583783,AMH -> DMRT1
AMH,FGF9,0.1119598235067207,AMH -> FGF9
AMH,FOXL2,0.0133648891187513,AMH -> FOXL2
AMH,GATA4,0.0272647739501285,AMH -> GATA4
AMH,NR0B1,0.0262505053348285,AMH -> NR0B1
AMH,NR5A1,0.0099240319648473,AMH -> NR5A1
AMH,PGD2,0.0886949741040894,AMH -> PGD2
AMH,RSPO1,0.0053672285158252,AMH -> RSPO1
AMH,SOX9,0.0280271588310473,AMH -> SOX9
AMH,SRY,0.0105000087737444,AMH -> SRY
AMH,UGR,0.0096063982489399,AMH -> UGR
AMH,WNT4,0.0059442549711124,AMH -> WNT4
AMH,WT1mKTS,0.0119169084940523,AMH -> WT1mKTS
AMH,WT1pKTS,0.0067279878190015,AMH -> WT1pKTS
CBX2,AMH,0.0088165773048712,CBX2 -> AMH
CBX2,CTNNB1,0.0774774254849852,CBX2 -> CTNNB1
CBX2,DHH,0.0099252488599514,CBX2 -> DHH
CBX2,DKK1,0.1337629476309323,CBX2 -> DKK1
CBX2,DMRT1,0.1027484427822435,CBX2 -> DMRT1
CBX2,FGF9,0.0106865548847083,CBX2 -> FGF9
CBX2,FOXL2,0.0143711819151628,CBX2 -> FOXL2
CBX2,GATA4,0.0093294518885263,CBX2 -> GATA4
CBX2,NR0B1,0.0104028926426154,CBX2 -> NR0B1
CBX2,NR5A1,0.0638458864520591,CBX2 -> NR5A1
CBX2,PGD2,0.0075585410151647,CBX2 -> PGD2
CBX2,RSPO1,0.0675893418523814,CBX2 -> RSPO1
CBX2,SOX9,0.0158952865460251,CBX2 -> SOX9
CBX2,SRY,0.0178890352175487,CBX2 -> SRY
CBX2,UGR,0.0216983602061061,CBX2 -> UGR
CBX2,WNT4,0.0083726599044094,CBX2 -> WNT4
CBX2,WT1mKTS,0.0083446511099521,CBX2 -> WT1mKTS
CBX2,WT1pKTS,0.0101559658625943,CBX2 -> WT1pKTS
CTNNB1,AMH,0.0091294109482192,CTNNB1 -> AMH
CTNNB1,CBX2,0.1332090781423175,CTNNB1 -> CBX2
CTNNB1,DHH,0.0092676347627966,CTNNB1 -> DHH
CTNNB1,DKK1,0.0105115399489489,CTNNB1 -> DKK1
CTNNB1,DMRT1,0.0096368789728053,CTNNB1 -> DMRT1
CTNNB1,FGF9,0.0111754661695569,CTNNB1 -> FGF9
CTNNB1,FOXL2,0.035989826424674,CTNNB1 -> FOXL2
CTNNB1,GATA4,0.0175012732982865,CTNNB1 -> GATA4
CTNNB1,NR0B1,0.0178369980954724,CTNNB1 -> NR0B1
CTNNB1,NR5A1,0.0610983560437053,CTNNB1 -> NR5A1
CTNNB1,PGD2,0.0059219417368655,CTNNB1 -> PGD2
CTNNB1,RSPO1,0.1060224239719248,CTNNB1 -> RSPO1
CTNNB1,SOX9,0.0136476414803432,CTNNB1 -> SOX9
CTNNB1,SRY,0.0114663457563227,CTNNB1 -> SRY
CTNNB1,UGR,0.0290265449890047,CTNNB1 -> UGR
CTNNB1,WNT4,0.0595639236286342,CTNNB1 -> WNT4
CTNNB1,WT1mKTS,0.0091229051480659,CTNNB1 -> WT1mKTS
CTNNB1,WT1pKTS,0.031502358697405,CTNNB1 -> WT1pKTS
DHH,AMH,0.1392466068263963,DHH -> AMH
DHH,CBX2,0.010028362082765,DHH -> CBX2
DHH,CTNNB1,0.0077074894090608,DHH -> CTNNB1
DHH,DKK1,0.0172970356097555,DHH -> DKK1
DHH,DMRT1,0.0179490142245956,DHH -> DMRT1
DHH,FGF9,0.1694874628232446,DHH -> FGF9
DHH,FOXL2,0.0065395758615985,DHH -> FOXL2
DHH,GATA4,0.0254521872007348,DHH -> GATA4
DHH,NR0B1,0.0236406192193489,DHH -> NR0B1
DHH,NR5A1,0.0071516340762648,DHH -> NR5A1
DHH,PGD2,0.1020160532359511,DHH -> PGD2
DHH,RSPO1,0.0056719667075721,DHH -> RSPO1
DHH,SOX9,0.0470396951860822,DHH -> SOX9
DHH,SRY,0.0087646660829388,DHH -> SRY
DHH,UGR,0.0089542752453262,DHH -> UGR
DHH,WNT4,0.0127347077332769,DHH -> WNT4
DHH,WT1mKTS,0.0144170540019369,DHH -> WT1mKTS
DHH,WT1pKTS,0.0059198213046387,DHH -> WT1pKTS
DKK1,AMH,0.0224934648209308,DKK1 -> AMH
DKK1,CBX2,0.1570835971608535,DKK1 -> CBX2
DKK1,CTNNB1,0.0134772309042587,DKK1 -> CTNNB1
DKK1,DHH,0.0301159143552834,DKK1 -> DHH
DKK1,DMRT1,0.1253435584213362,DKK1 -> DMRT1
