Gene1,Gene2,EdgeWeight,Direction
DKK1,DMRT1,0.3320429734324223,DKK1 -> DMRT1
WT1pKTS,FOXL2,0.319619535797413,WT1pKTS -> FOXL2
DMRT1,DKK1,0.3159416918836518,DMRT1 -> DKK1
FOXL2,WT1pKTS,0.2978065748970328,FOXL2 -> WT1pKTS
PGD2,FGF9,0.2644143034236087,PGD2 -> FGF9
FGF9,PGD2,0.261839953042714,FGF9 -> PGD2
PGD2,DHH,0.2600395063392795,PGD2 -> DHH
FGF9,AMH,0.2519674995586184,FGF9 -> AMH
FGF9,DHH,0.2429869612018434,FGF9 -> DHH
RSPO1,NR5A1,0.2383210125866934,RSPO1 -> NR5A1
CTNNB1,RSPO1,0.2370054597782569,CTNNB1 -> RSPO1
RSPO1,WNT4,0.2308518963298476,RSPO1 -> WNT4
DHH,PGD2,0.2234844076603168,DHH -> PGD2
FOXL2,CTNNB1,0.2219119348430223,FOXL2 -> CTNNB1
UGR,CBX2,0.2216010810924857,UGR -> CBX2
DMRT1,SRY,0.2142453335627659,DMRT1 -> SRY
PGD2,AMH,0.2093815080950894,PGD2 -> AMH
NR5A1,RSPO1,0.2032520745900377,NR5A1 -> RSPO1
AMH,FGF9,0.2018713532880452,AMH -> FGF9
DHH,FGF9,0.1968332568309948,DHH -> FGF9
RSPO1,CTNNB1,0.1876799871577186,RSPO1 -> CTNNB1
DKK1,SRY,0.1853085733297708,DKK1 -> SRY
CBX2,UGR,0.1831568597741119,CBX2 -> UGR
CTNNB1,FOXL2,0.1806092267487227,CTNNB1 -> FOXL2
DHH,AMH,0.1774701184344085,DHH -> AMH
AMH,PGD2,0.1738746660756722,AMH -> PGD2
DHH,SOX9,0.1684925204975091,DHH -> SOX9
CTNNB1,WNT4,0.1658845001455901,CTNNB1 -> WNT4
WNT4,RSPO1,0.1622367986055823,WNT4 -> RSPO1
PGD2,SOX9,0.1614684849734909,PGD2 -> SOX9
AMH,DHH,0.1605572481147777,AMH -> DHH
SRY,UGR,0.1551026723237431,SRY -> UGR
SOX9,DKK1,0.1513771412388266,SOX9 -> DKK1
SOX9,DMRT1,0.1478473386049783,SOX9 -> DMRT1
FGF9,SOX9,0.1474587088910506,FGF9 -> SOX9
AMH,NR0B1,0.1467139011848916,AMH -> NR0B1
CTNNB1,WT1pKTS,0.1467056404358517,CTNNB1 -> WT1pKTS
SRY,DMRT1,0.1463790902215558,SRY -> DMRT1
NR5A1,CBX2,0.1444745357940091,NR5A1 -> CBX2
SRY,DKK1,0.1436297986849993,SRY -> DKK1
NR5A1,FOXL2,0.1423306759465206,NR5A1 -> FOXL2
WT1pKTS,CTNNB1,0.1395743175849942,WT1pKTS -> CTNNB1
NR0B1,UGR,0.137106685667749,NR0B1 -> UGR
NR5A1,WT1pKTS,0.1272945383019123,NR5A1 -> WT1pKTS
CTNNB1,NR5A1,0.1197162003100136,CTNNB1 -> NR5A1
NR0B1,WNT4,0.1184747453942088,NR0B1 -> WNT4
WNT4,UGR,0.1160842727967384,WNT4 -> UGR
SOX9,PGD2,0.1152640397216536,SOX9 -> PGD2
SRY,WT1pKTS,0.1109155151724438,SRY -> WT1pKTS
FOXL2,NR5A1,0.1095035684711121,FOXL2 -> NR5A1
DHH,NR0B1,0.1067739547659509,DHH -> NR0B1
SOX9,AMH,0.1062535795271953,SOX9 -> AMH
FOXL2,RSPO1,0.1053827965275104,FOXL2 -> RSPO1
AMH,SOX9,0.1050768028181319,AMH -> SOX9
WNT4,NR0B1,0.104084412764123,WNT4 -> NR0B1
SOX9,DHH,0.1039541136453396,SOX9 -> DHH
SOX9,FGF9,0.1032131265104401,SOX9 -> FGF9
NR5A1,CTNNB1,0.1030329339874088,NR5A1 -> CTNNB1
FGF9,NR0B1,0.1008544991618467,FGF9 -> NR0B1
PGD2,NR0B1,0.0996862998566505,PGD2 -> NR0B1
DKK1,SOX9,0.0972993725075825,DKK1 -> SOX9
NR0B1,AMH,0.096642695969988,NR0B1 -> AMH
WT1mKTS,GATA4,0.0963900320030054,WT1mKTS -> GATA4
DMRT1,CBX2,0.0960710338586864,DMRT1 -> CBX2
GATA4,WT1mKTS,0.0959522721885821,GATA4 -> WT1mKTS
DKK1,CBX2,0.0958849151212928,DKK1 -> CBX2
UGR,NR0B1,0.0939603127192119,UGR -> NR0B1
SOX9,SRY,0.0936244296532025,SOX9 -> SRY
