Gene1,Gene2,EdgeWeight,Direction
DMRT1,DKK1,1.1650151039130054,DMRT1 -> DKK1
DKK1,DMRT1,1.1650151039130054,DKK1 -> DMRT1
FGF9,PGD2,1.041024403375842,FGF9 -> PGD2
PGD2,FGF9,1.041024403375842,PGD2 -> FGF9
FGF9,DHH,1.034302848385595,FGF9 -> DHH
PGD2,AMH,1.0034543054343694,PGD2 -> AMH
CTNNB1,RSPO1,0.8794135048201392,CTNNB1 -> RSPO1
RSPO1,CTNNB1,0.8735145392739426,RSPO1 -> CTNNB1
RSPO1,NR5A1,0.8560681223825375,RSPO1 -> NR5A1
DKK1,WNT4,0.8094670591691493,DKK1 -> WNT4
DMRT1,SOX9,0.7884716976297866,DMRT1 -> SOX9
FOXL2,WT1pKTS,0.7764084977079786,FOXL2 -> WT1pKTS
WT1pKTS,FOXL2,0.7764084977079786,WT1pKTS -> FOXL2
DKK1,SRY,0.7630086962992186,DKK1 -> SRY
SOX9,NR0B1,0.7349343822371481,SOX9 -> NR0B1
UGR,CBX2,0.5269167510885151,UGR -> CBX2
CBX2,UGR,0.4816453463483449,CBX2 -> UGR
RSPO1,WNT4,0.4205746105236916,RSPO1 -> WNT4
PGD2,DHH,0.3798645432623887,PGD2 -> DHH
DHH,AMH,0.3660401652266808,DHH -> AMH
NR5A1,SOX9,0.3431050890270262,NR5A1 -> SOX9
DHH,FGF9,0.3309570944351072,DHH -> FGF9
AMH,SOX9,0.2790829703343472,AMH -> SOX9
WNT4,NR5A1,0.2448972834574382,WNT4 -> NR5A1
AMH,DHH,0.2423354409987479,AMH -> DHH
DKK1,NR5A1,0.2328394041324324,DKK1 -> NR5A1
SOX9,DKK1,0.2296612945638171,SOX9 -> DKK1
FGF9,AMH,0.2157386958055062,FGF9 -> AMH
NR5A1,SRY,0.2119504984864845,NR5A1 -> SRY
NR5A1,RSPO1,0.2110179317939712,NR5A1 -> RSPO1
WNT4,RSPO1,0.2065433800947846,WNT4 -> RSPO1
PGD2,SOX9,0.1991159440727438,PGD2 -> SOX9
DKK1,CTNNB1,0.1947253070364657,DKK1 -> CTNNB1
FOXL2,RSPO1,0.1943859582347594,FOXL2 -> RSPO1
WT1pKTS,SRY,0.1909294353964207,WT1pKTS -> SRY
NR5A1,CTNNB1,0.1908018741220764,NR5A1 -> CTNNB1
CTNNB1,NR5A1,0.1861378444443893,CTNNB1 -> NR5A1
AMH,PGD2,0.1767409797223464,AMH -> PGD2
AMH,FGF9,0.1757592021707671,AMH -> FGF9
DHH,WNT4,0.1745889230768744,DHH -> WNT4
NR0B1,NR5A1,0.167750566864088,NR0B1 -> NR5A1
CTNNB1,FOXL2,0.1643420742485285,CTNNB1 -> FOXL2
NR5A1,CBX2,0.1625208211010067,NR5A1 -> CBX2
SRY,DKK1,0.1508427961019892,SRY -> DKK1
SOX9,SRY,0.1494711578067775,SOX9 -> SRY
SRY,RSPO1,0.1485514723674674,SRY -> RSPO1
WNT4,NR0B1,0.1454562588181007,WNT4 -> NR0B1
CTNNB1,WT1pKTS,0.1437425814143343,CTNNB1 -> WT1pKTS
NR0B1,AMH,0.143068559011448,NR0B1 -> AMH
DHH,NR0B1,0.1395389355217645,DHH -> NR0B1
SRY,UGR,0.1339621946915816,SRY -> UGR
CTNNB1,WNT4,0.1338140484993883,CTNNB1 -> WNT4
SOX9,DMRT1,0.1305150467635939,SOX9 -> DMRT1
