Gene1,Gene2,EdgeWeight,Direction
AMH,AMH,1.0,AMH -> AMH
NR5A1,NR5A1,1.0,NR5A1 -> NR5A1
WT1pKTS,WT1pKTS,1.0,WT1pKTS -> WT1pKTS
WT1mKTS,WT1mKTS,1.0,WT1mKTS -> WT1mKTS
WNT4,WNT4,1.0,WNT4 -> WNT4
UGR,UGR,1.0,UGR -> UGR
SRY,SRY,1.0,SRY -> SRY
SOX9,SOX9,1.0,SOX9 -> SOX9
CBX2,CBX2,1.0,CBX2 -> CBX2
PGD2,PGD2,1.0,PGD2 -> PGD2
RSPO1,RSPO1,1.0,RSPO1 -> RSPO1
NR0B1,NR0B1,1.0,NR0B1 -> NR0B1
GATA4,GATA4,1.0,GATA4 -> GATA4
FOXL2,FOXL2,1.0,FOXL2 -> FOXL2
FGF9,FGF9,1.0,FGF9 -> FGF9
DMRT1,DMRT1,1.0,DMRT1 -> DMRT1
DKK1,DKK1,1.0,DKK1 -> DKK1
DHH,DHH,1.0,DHH -> DHH
CTNNB1,CTNNB1,1.0,CTNNB1 -> CTNNB1
DMRT1,DKK1,0.385532747915482,DMRT1 -> DKK1
DKK1,DMRT1,0.385532747915482,DKK1 -> DMRT1
WNT4,RSPO1,0.306964139946649,WNT4 -> RSPO1
RSPO1,WNT4,0.306964139946649,RSPO1 -> WNT4
NR5A1,RSPO1,-0.291518102493791,NR5A1 -> RSPO1
RSPO1,NR5A1,-0.291518102493791,RSPO1 -> NR5A1
CTNNB1,RSPO1,0.286505040474487,CTNNB1 -> RSPO1
RSPO1,CTNNB1,0.286505040474487,RSPO1 -> CTNNB1
DKK1,SRY,0.258514447707924,DKK1 -> SRY
SRY,DKK1,0.258514447707923,SRY -> DKK1
NR0B1,WNT4,0.250190588763338,NR0B1 -> WNT4
WNT4,NR0B1,0.250190588763338,WNT4 -> NR0B1
SRY,DMRT1,0.227905266979438,SRY -> DMRT1
DMRT1,SRY,0.227905266979438,DMRT1 -> SRY
WNT4,CTNNB1,0.227264605014459,WNT4 -> CTNNB1
CTNNB1,WNT4,0.227264605014458,CTNNB1 -> WNT4
WT1pKTS,FOXL2,-0.208600068841202,WT1pKTS -> FOXL2
FOXL2,WT1pKTS,-0.208600068841201,FOXL2 -> WT1pKTS
PGD2,FGF9,0.198708880981623,PGD2 -> FGF9
FGF9,PGD2,0.198708880981622,FGF9 -> PGD2
AMH,PGD2,0.189457932998828,AMH -> PGD2
PGD2,AMH,0.189457932998828,PGD2 -> AMH
NR0B1,AMH,-0.186614968128143,NR0B1 -> AMH
AMH,NR0B1,-0.186614968128143,AMH -> NR0B1
AMH,DHH,0.186127783551796,AMH -> DHH
DHH,AMH,0.186127783551796,DHH -> AMH
FOXL2,SRY,-0.180330509620356,FOXL2 -> SRY
SRY,FOXL2,-0.180330509620355,SRY -> FOXL2
NR5A1,CBX2,0.179338873100294,NR5A1 -> CBX2
CBX2,NR5A1,0.179338873100294,CBX2 -> NR5A1
DHH,FGF9,0.175193857776833,DHH -> FGF9
FGF9,DHH,0.175193857776833,FGF9 -> DHH
NR5A1,WT1pKTS,0.174576954616772,NR5A1 -> WT1pKTS
WT1pKTS,NR5A1,0.174576954616771,WT1pKTS -> NR5A1
SOX9,DKK1,0.171222050659596,SOX9 -> DKK1
DKK1,SOX9,0.171222050659595,DKK1 -> SOX9
WT1pKTS,SRY,0.162085355086576,WT1pKTS -> SRY
SRY,WT1pKTS,0.162085355086576,SRY -> WT1pKTS
NR0B1,SRY,0.157153998622204,NR0B1 -> SRY
SRY,NR0B1,0.157153998622204,SRY -> NR0B1
DMRT1,CBX2,-0.155742224807926,DMRT1 -> CBX2
CBX2,DMRT1,-0.155742224807926,CBX2 -> DMRT1
SOX9,DMRT1,0.148927416038825,SOX9 -> DMRT1
DMRT1,SOX9,0.148927416038825,DMRT1 -> SOX9
SOX9,NR5A1,0.142349045170353,SOX9 -> NR5A1
NR5A1,SOX9,0.142349045170353,NR5A1 -> SOX9
NR0B1,FGF9,-0.141911065780311,NR0B1 -> FGF9
FGF9,NR0B1,-0.141911065780311,FGF9 -> NR0B1
DHH,PGD2,0.141017101336996,DHH -> PGD2
PGD2,DHH,0.141017101336996,PGD2 -> DHH
NR0B1,NR5A1,-0.139609251291362,NR0B1 -> NR5A1
NR5A1,NR0B1,-0.139609251291362,NR5A1 -> NR0B1
WT1pKTS,CBX2,0.133853097020098,WT1pKTS -> CBX2
CBX2,WT1pKTS,0.133853097020098,CBX2 -> WT1pKTS
DHH,NR0B1,-0.131296735410843,DHH -> NR0B1
NR0B1,DHH,-0.131296735410843,NR0B1 -> DHH
SRY,SOX9,0.125100718680372,SRY -> SOX9
SOX9,SRY,0.125100718680372,SOX9 -> SRY
CBX2,UGR,0.12433018035898,CBX2 -> UGR
UGR,CBX2,0.12433018035898,UGR -> CBX2
AMH,FGF9,0.124234679241778,AMH -> FGF9
FGF9,AMH,0.124234679241778,FGF9 -> AMH
NR5A1,CTNNB1,-0.122351505123809,NR5A1 -> CTNNB1
CTNNB1,NR5A1,-0.122351505123808,CTNNB1 -> NR5A1
CTNNB1,UGR,-0.122140136521693,CTNNB1 -> UGR
UGR,CTNNB1,-0.122140136521693,UGR -> CTNNB1
DMRT1,CTNNB1,-0.119167819776767,DMRT1 -> CTNNB1
CTNNB1,DMRT1,-0.119167819776767,CTNNB1 -> DMRT1
