Gene1,Gene2,EdgeWeight,Direction
PGD2,AMH,10191,PGD2 -> AMH
DHH,AMH,10141,DHH -> AMH
FGF9,AMH,9898,FGF9 -> AMH
DHH,FOXL2,8217,DHH -> FOXL2
AMH,FOXL2,8196,AMH -> FOXL2
FGF9,FOXL2,8066,FGF9 -> FOXL2
PGD2,FOXL2,8044,PGD2 -> FOXL2
FOXL2,AMH,7986,FOXL2 -> AMH
SOX9,AMH,7470,SOX9 -> AMH
SOX9,FOXL2,7428,SOX9 -> FOXL2
UGR,AMH,7256,UGR -> AMH
UGR,FOXL2,6982,UGR -> FOXL2
DKK1,FOXL2,6952,DKK1 -> FOXL2
DMRT1,FOXL2,6867,DMRT1 -> FOXL2
DMRT1,AMH,6802,DMRT1 -> AMH
CTNNB1,AMH,6778,CTNNB1 -> AMH
CTNNB1,FOXL2,6764,CTNNB1 -> FOXL2
SRY,FOXL2,6693,SRY -> FOXL2
DKK1,AMH,6657,DKK1 -> AMH
NR0B1,AMH,6635,NR0B1 -> AMH
RSPO1,AMH,6575,RSPO1 -> AMH
WNT4,AMH,6509,WNT4 -> AMH
RSPO1,FOXL2,6509,RSPO1 -> FOXL2
SRY,AMH,6480,SRY -> AMH
NR5A1,FOXL2,6306,NR5A1 -> FOXL2
NR5A1,AMH,6276,NR5A1 -> AMH
CBX2,AMH,6252,CBX2 -> AMH
WT1pKTS,AMH,6180,WT1pKTS -> AMH
WT1pKTS,FOXL2,6124,WT1pKTS -> FOXL2
WNT4,FOXL2,6038,WNT4 -> FOXL2
NR0B1,FOXL2,6010,NR0B1 -> FOXL2
CBX2,FOXL2,5909,CBX2 -> FOXL2
GATA4,AMH,5896,GATA4 -> AMH
WT1mKTS,AMH,5883,WT1mKTS -> AMH
WT1mKTS,FOXL2,5410,WT1mKTS -> FOXL2
GATA4,FOXL2,5264,GATA4 -> FOXL2
DMRT1,DKK1,601,DMRT1 -> DKK1
DKK1,DMRT1,513,DKK1 -> DMRT1
RSPO1,SOX9,443,RSPO1 -> SOX9
FOXL2,DKK1,408,FOXL2 -> DKK1
AMH,NR0B1,362,AMH -> NR0B1
UGR,DKK1,359,UGR -> DKK1
FOXL2,WT1pKTS,356,FOXL2 -> WT1pKTS
FOXL2,DMRT1,343,FOXL2 -> DMRT1
CTNNB1,SOX9,325,CTNNB1 -> SOX9
FOXL2,SOX9,324,FOXL2 -> SOX9
UGR,DMRT1,320,UGR -> DMRT1
DKK1,SOX9,296,DKK1 -> SOX9
AMH,CTNNB1,292,AMH -> CTNNB1
UGR,SOX9,291,UGR -> SOX9
DHH,CTNNB1,288,DHH -> CTNNB1
FGF9,CTNNB1,283,FGF9 -> CTNNB1
UGR,NR0B1,281,UGR -> NR0B1
DMRT1,SOX9,280,DMRT1 -> SOX9
AMH,WT1pKTS,280,AMH -> WT1pKTS
PGD2,CTNNB1,278,PGD2 -> CTNNB1
AMH,DKK1,277,AMH -> DKK1
CTNNB1,DKK1,270,CTNNB1 -> DKK1
WNT4,SOX9,269,WNT4 -> SOX9
CBX2,SOX9,266,CBX2 -> SOX9
FOXL2,NR0B1,263,FOXL2 -> NR0B1
DHH,DKK1,261,DHH -> DKK1
FGF9,DKK1,261,FGF9 -> DKK1
PGD2,DKK1,256,PGD2 -> DKK1
DHH,NR0B1,256,DHH -> NR0B1
AMH,DMRT1,253,AMH -> DMRT1
