Gene1,Gene2,EdgeWeight,Direction
SRY,UGR,4.13112346171125,SRY -> UGR
NR0B1,UGR,3.76664683454467,NR0B1 -> UGR
GATA4,UGR,3.24576418736655,GATA4 -> UGR
WT1pKTS,UGR,3.1997061590881097,WT1pKTS -> UGR
WT1mKTS,UGR,3.0662269967869995,WT1mKTS -> UGR
SRY,CBX2,2.93044595089711,SRY -> CBX2
DMRT1,UGR,2.7873138419385897,DMRT1 -> UGR
DKK1,UGR,2.76974177617925,DKK1 -> UGR
WNT4,UGR,2.76670550959096,WNT4 -> UGR
NR0B1,CBX2,2.62065209918004,NR0B1 -> CBX2
NR0B1,NR5A1,2.61105472872512,NR0B1 -> NR5A1
WNT4,CBX2,2.57921813719497,WNT4 -> CBX2
WNT4,NR5A1,2.56788586377286,WNT4 -> NR5A1
RSPO1,NR5A1,2.4984521466465,RSPO1 -> NR5A1
RSPO1,CBX2,2.48509679202547,RSPO1 -> CBX2
NR0B1,WT1pKTS,2.46859581079105,NR0B1 -> WT1pKTS
WNT4,WT1pKTS,2.4246210071726,WNT4 -> WT1pKTS
CTNNB1,NR5A1,2.42039289481319,CTNNB1 -> NR5A1
CTNNB1,CBX2,2.40504388838335,CTNNB1 -> CBX2
RSPO1,WT1pKTS,2.40006060154283,RSPO1 -> WT1pKTS
SRY,SRY,2.3487134360876296,SRY -> SRY
CTNNB1,WT1pKTS,2.3290988531899,CTNNB1 -> WT1pKTS
NR0B1,SRY,2.3089456095682497,NR0B1 -> SRY
RSPO1,UGR,2.19879723169816,RSPO1 -> UGR
CTNNB1,UGR,2.12417694862429,CTNNB1 -> UGR
DMRT1,CBX2,2.08575790530882,DMRT1 -> CBX2
GATA4,SRY,2.07364471218361,GATA4 -> SRY
DKK1,CBX2,2.07206156478431,DKK1 -> CBX2
GATA4,CBX2,2.06998360246306,GATA4 -> CBX2
WT1pKTS,SRY,2.04646317335885,WT1pKTS -> SRY
NR0B1,NR0B1,2.04249303867134,NR0B1 -> NR0B1
WT1pKTS,CBX2,2.03788885442035,WT1pKTS -> CBX2
SRY,NR5A1,1.990612001478,SRY -> NR5A1
WT1mKTS,SRY,1.96867871090936,WT1mKTS -> SRY
SRY,NR0B1,1.94814928555472,SRY -> NR0B1
WT1mKTS,CBX2,1.94619952661045,WT1mKTS -> CBX2
GATA4,NR0B1,1.91703917712096,GATA4 -> NR0B1
FOXL2,NR5A1,1.91482806119053,FOXL2 -> NR5A1
WT1pKTS,NR0B1,1.89389093430554,WT1pKTS -> NR0B1
FOXL2,CBX2,1.88081227827921,FOXL2 -> CBX2
FOXL2,WT1pKTS,1.87909271796942,FOXL2 -> WT1pKTS
SRY,DMRT1,1.83205510346708,SRY -> DMRT1
WT1mKTS,NR0B1,1.8269258080161896,WT1mKTS -> NR0B1
SRY,DKK1,1.80986029528254,SRY -> DKK1
UGR,UGR,1.7876433826299398,UGR -> UGR
WNT4,SRY,1.7491028253341898,WNT4 -> SRY
NR0B1,DMRT1,1.70871489667653,NR0B1 -> DMRT1
NR0B1,DKK1,1.68845314719036,NR0B1 -> DKK1
NR5A1,UGR,1.6357400853262902,NR5A1 -> UGR
FOXL2,UGR,1.62679314164197,FOXL2 -> UGR
WT1mKTS,NR5A1,1.6266584074215,WT1mKTS -> NR5A1
GATA4,NR5A1,1.6190547427744195,GATA4 -> NR5A1
WNT4,NR0B1,1.60310748138506,WNT4 -> NR0B1
NR0B1,RSPO1,1.54449388060844,NR0B1 -> RSPO1
WNT4,RSPO1,1.5246907756450805,WNT4 -> RSPO1
NR0B1,CTNNB1,1.51117429638628,NR0B1 -> CTNNB1
WT1mKTS,WT1pKTS,1.4943139183054,WT1mKTS -> WT1pKTS
WNT4,CTNNB1,1.49142671797803,WNT4 -> CTNNB1
GATA4,WT1pKTS,1.4867170706689,GATA4 -> WT1pKTS
UGR,CBX2,1.48614899367652,UGR -> CBX2
DMRT1,SRY,1.4842818290400202,DMRT1 -> SRY
GATA4,DMRT1,1.48310585936229,GATA4 -> DMRT1
DKK1,SRY,1.47500578570972,DKK1 -> SRY
GATA4,DKK1,1.46539991260812,GATA4 -> DKK1
WT1pKTS,DMRT1,1.46224573118362,WT1pKTS -> DMRT1
WT1pKTS,DKK1,1.44479416647223,WT1pKTS -> DKK1
DMRT1,NR5A1,1.41963017688093,DMRT1 -> NR5A1
DKK1,NR5A1,1.4106765358026103,DKK1 -> NR5A1
WT1mKTS,DMRT1,1.40338284528055,WT1mKTS -> DMRT1
RSPO1,RSPO1,1.40283403242641,RSPO1 -> RSPO1
WT1mKTS,DKK1,1.38663783594659,WT1mKTS -> DKK1
RSPO1,CTNNB1,1.37692200969727,RSPO1 -> CTNNB1
WT1pKTS,NR5A1,1.3739041716678,WT1pKTS -> NR5A1
NR0B1,FOXL2,1.36592374102119,NR0B1 -> FOXL2
CTNNB1,RSPO1,1.35293060211694,CTNNB1 -> RSPO1
NR0B1,WNT4,1.3447346277581498,NR0B1 -> WNT4
WNT4,FOXL2,1.34470630287217,WNT4 -> FOXL2
CTNNB1,CTNNB1,1.32845198117242,CTNNB1 -> CTNNB1
SOX9,UGR,1.31517036525478,SOX9 -> UGR
GATA4,WNT4,1.297073231178,GATA4 -> WNT4
RSPO1,FOXL2,1.28423483038099,RSPO1 -> FOXL2
WT1pKTS,WNT4,1.28242107429209,WT1pKTS -> WNT4
WNT4,DMRT1,1.25738146362559,WNT4 -> DMRT1
CTNNB1,FOXL2,1.2435899985628,CTNNB1 -> FOXL2
WNT4,DKK1,1.24247155582799,WNT4 -> DKK1
WT1mKTS,WNT4,1.23932764733096,WT1mKTS -> WNT4
DMRT1,DMRT1,1.22095807409096,DMRT1 -> DMRT1
DKK1,DMRT1,1.21292364137664,DKK1 -> DMRT1
SRY,WNT4,1.21124648141219,SRY -> WNT4
DMRT1,DKK1,1.20600629422427,DMRT1 -> DKK1
DKK1,DKK1,1.19806543741035,DKK1 -> DKK1
DMRT1,NR0B1,1.14044106558233,DMRT1 -> NR0B1
DKK1,NR0B1,1.13404498544324,DKK1 -> NR0B1
NR5A1,SRY,1.11467886981431,NR5A1 -> SRY
WT1mKTS,RSPO1,1.1063999008095,WT1mKTS -> RSPO1
RSPO1,GATA4,1.10624690964175,RSPO1 -> GATA4
GATA4,RSPO1,1.1037037427016998,GATA4 -> RSPO1
NR5A1,NR0B1,1.0961568778261,NR5A1 -> NR0B1
NR0B1,GATA4,1.09467228356529,NR0B1 -> GATA4
WNT4,WNT4,1.08173575199742,WNT4 -> WNT4
RSPO1,WT1mKTS,1.07886835556915,RSPO1 -> WT1mKTS
WT1mKTS,CTNNB1,1.07850481691659,WT1mKTS -> CTNNB1
CTNNB1,GATA4,1.07605431865577,CTNNB1 -> GATA4
GATA4,CTNNB1,1.07583634520175,GATA4 -> CTNNB1
WNT4,GATA4,1.07219948130154,WNT4 -> GATA4
SOX9,CBX2,1.07206661032058,SOX9 -> CBX2
