Gene1,Gene2,EdgeWeight,Direction
NR0B1,CTNNB1,0.106698333267094,NR0B1 -> CTNNB1
PGD2,WNT4,0.0907104589145195,PGD2 -> WNT4
DHH,WNT4,0.0885100910998599,DHH -> WNT4
WNT4,NR0B1,0.0871644466155869,WNT4 -> NR0B1
FGF9,WNT4,0.082558965687953,FGF9 -> WNT4
DMRT1,SOX9,0.0784702771027019,DMRT1 -> SOX9
DKK1,AMH,0.0781748600696077,DKK1 -> AMH
DMRT1,FGF9,0.076756420905423,DMRT1 -> FGF9
RSPO1,WNT4,0.0741335319729615,RSPO1 -> WNT4
SRY,AMH,0.0740481227372842,SRY -> AMH
AMH,WNT4,0.0713564774825243,AMH -> WNT4
SOX9,DHH,0.0711714614030806,SOX9 -> DHH
NR0B1,RSPO1,0.0701081075995571,NR0B1 -> RSPO1
CBX2,RSPO1,0.0700675191972219,CBX2 -> RSPO1
SRY,SOX9,0.0677138099841321,SRY -> SOX9
FOXL2,CTNNB1,0.0674431406694374,FOXL2 -> CTNNB1
SOX9,FGF9,0.0673085058261053,SOX9 -> FGF9
WNT4,RSPO1,0.0664113604284674,WNT4 -> RSPO1
DKK1,FGF9,0.0663498919961191,DKK1 -> FGF9
SOX9,WNT4,0.0661873271033655,SOX9 -> WNT4
CBX2,PGD2,0.0655751993198842,CBX2 -> PGD2
NR5A1,WNT4,0.0646563700945683,NR5A1 -> WNT4
DKK1,SOX9,0.0643096327696285,DKK1 -> SOX9
WNT4,CTNNB1,0.0640431480247773,WNT4 -> CTNNB1
DKK1,SRY,0.0628696222132492,DKK1 -> SRY
NR5A1,PGD2,0.0621731248907143,NR5A1 -> PGD2
DMRT1,PGD2,0.0617154634353565,DMRT1 -> PGD2
NR5A1,CTNNB1,0.0614993039300935,NR5A1 -> CTNNB1
WT1mKTS,SOX9,0.060845160551354,WT1mKTS -> SOX9
NR0B1,WT1pKTS,0.0606763726002771,NR0B1 -> WT1pKTS
SRY,CTNNB1,0.0604917119558657,SRY -> CTNNB1
