Entity 1,Entity 2,Weight,Network group,Network
LTA,IL10,0.016261349,Co-expression,Arijs-Rutgeerts-2009
TNF,CSF2,0.02370254,Co-expression,Arijs-Rutgeerts-2009
CCR5,IFNG,0.015996214,Co-expression,Arijs-Rutgeerts-2009
IL6,CSF2,0.020411724,Co-expression,Arijs-Rutgeerts-2009
IL6,TNF,0.020384662,Co-expression,Arijs-Rutgeerts-2009
IL1B,SLC11A1,0.00982535,Co-expression,Arijs-Rutgeerts-2009
IL1B,TNF,0.010353424,Co-expression,Arijs-Rutgeerts-2009
IL1B,IL6,0.008711663,Co-expression,Arijs-Rutgeerts-2009
CCL2,TNF,0.010841986,Co-expression,Arijs-Rutgeerts-2009
CCL2,IL6,0.011314114,Co-expression,Arijs-Rutgeerts-2009
CXCL8,CSF2,0.009271759,Co-expression,Arijs-Rutgeerts-2009
CXCL8,SLC11A1,0.009276037,Co-expression,Arijs-Rutgeerts-2009
CXCL8,IFNG,0.007564611,Co-expression,Arijs-Rutgeerts-2009
CXCL8,TNF,0.009505372,Co-expression,Arijs-Rutgeerts-2009
CXCL8,IL6,0.008436746,Co-expression,Arijs-Rutgeerts-2009
CXCL8,IL1B,0.0052234386,Co-expression,Arijs-Rutgeerts-2009
MBL2,CRP,0.019627798,Co-expression,Roth-Zlotnik-2006
TNF,IFNG,0.03513151,Co-expression,Roth-Zlotnik-2006
IL1B,TNF,0.027577808,Co-expression,Roth-Zlotnik-2006
IL1B,IL6,0.0259487,Co-expression,Roth-Zlotnik-2006
CCL2,IL6,0.030454462,Co-expression,Roth-Zlotnik-2006
CCL2,IL1B,0.0213736,Co-expression,Roth-Zlotnik-2006
CXCL8,IL6,0.020021824,Co-expression,Roth-Zlotnik-2006
HMOX1,IL10,0.0167121,Co-expression,Ramaswamy-Golub-2001
TNF,SLC11A1,0.019456824,Co-expression,Ramaswamy-Golub-2001
CCR5,ARG1,0.01730042,Co-expression,Ramaswamy-Golub-2001
IL6,SLC11A1,0.014240562,Co-expression,Ramaswamy-Golub-2001
IL6,TNF,0.017498111,Co-expression,Ramaswamy-Golub-2001
IL1B,TNF,0.015139083,Co-expression,Ramaswamy-Golub-2001
IL1B,IL6,0.020199798,Co-expression,Ramaswamy-Golub-2001
CCL2,IL10,0.00805836,Co-expression,Ramaswamy-Golub-2001
CXCL8,HMOX1,0.011104963,Co-expression,Ramaswamy-Golub-2001
CXCL8,IL6,0.009270781,Co-expression,Ramaswamy-Golub-2001
CXCL8,IL1B,0.009428914,Co-expression,Ramaswamy-Golub-2001
TNF,IFNG,0.025680855,Co-expression,Innocenti-Brown-2011
CCR5,HLA-DRB1,0.0045590294,Co-expression,Innocenti-Brown-2011
CCR5,HMOX1,0.008656032,Co-expression,Innocenti-Brown-2011
IL6,IFNG,0.010036625,Co-expression,Innocenti-Brown-2011
IL1B,IL10,0.012005261,Co-expression,Innocenti-Brown-2011
IL1B,IFNG,0.013013139,Co-expression,Innocenti-Brown-2011
IL1B,TNF,0.014850151,Co-expression,Innocenti-Brown-2011
IL1B,CCR5,0.0049704113,Co-expression,Innocenti-Brown-2011
IL1B,IL6,0.0075893993,Co-expression,Innocenti-Brown-2011
CCL2,TNF,0.01252263,Co-expression,Innocenti-Brown-2011
CCL2,IL6,0.007803012,Co-expression,Innocenti-Brown-2011
CCL2,IL1B,0.0100117335,Co-expression,Innocenti-Brown-2011
CXCL8,IL6,0.009282609,Co-expression,Innocenti-Brown-2011
CXCL8,IL1B,0.009326918,Co-expression,Innocenti-Brown-2011
CXCL8,CCL2,0.010772362,Co-expression,Innocenti-Brown-2011
CCR5,ARG1,0.02650857,Co-expression,Wang-Maris-2006
IL6,SLC11A1,0.015103196,Co-expression,Wang-Maris-2006
IL1B,SLC11A1,0.020736748,Co-expression,Wang-Maris-2006
IL1B,IL6,0.01589569,Co-expression,Wang-Maris-2006
CXCL8,SLC11A1,0.021517044,Co-expression,Wang-Maris-2006
CXCL8,IL6,0.016122287,Co-expression,Wang-Maris-2006
CXCL8,IL1B,0.020508705,Co-expression,Wang-Maris-2006
LTA,MBL2,0.009456452,Co-expression,Wang-Cheung-2015
CCL2,TNF,0.010970542,Co-expression,Wang-Cheung-2015
CCL2,IL6,0.013259606,Co-expression,Wang-Cheung-2015
CCL2,IL1B,0.016543472,Co-expression,Wang-Cheung-2015
CCL2,IL18,0.009051562,Co-expression,Wang-Cheung-2015
CXCL8,TNF,0.018830476,Co-expression,Wang-Cheung-2015
CXCL8,IL6,0.016527755,Co-expression,Wang-Cheung-2015
CXCL8,CCL2,0.011958651,Co-expression,Wang-Cheung-2015
CCR5,HLA-DRB1,0.013228114,Co-expression,Boldrick-Relman-2002
IL6,TNF,0.013646194,Co-expression,Boldrick-Relman-2002
