feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,IL10,CRP,0,0
0,0,IL1B,CRP,0,0
0,0,SLC11A1,CRP,0,0
0,0,CXCL8,CRP,0,0
0,0,CSF2,CRP,0,0
0,0,LTA,CRP,0,0
0,0,TNF,CRP,0,0
0,0,HLA-DRB1,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,IL6,CRP,0,0
0,0,MBL2,CRP,0,0
0,0,IL10RA,CRP,0,0
0,0,IFNG,CRP,0,0
0,0,HMOX1,CRP,0,0
0,0,IL2RB,CRP,0,0
0,0,IL32,CRP,0,0
0,0,CRP,IL10,0,0
0.010487586,0.000828428,IL1B,IL10,0.019427302,0.001110414
0.020757808,0.001217079,SLC11A1,IL10,0.038451956,0.001631358
0.006718451,0.000357578,CXCL8,IL10,0.012445321,0.000479293
2.08E-05,8.21E-06,CSF2,IL10,3.86E-05,1.10E-05
0.043920489,0.000645008,LTA,IL10,0.081358722,0.000864561
0.012538198,0.000731562,TNF,IL10,0.023225875,0.000980577
0.091611726,0.011440476,HLA-DRB1,IL10,0.169702414,0.015334675
0.023013738,0.001355692,HLA-DQA1,IL10,0.042630863,0.001817154
0.000603026,0.000114645,HLA-DQA1,IL10,0.00111705,0.000153668
1.29E-05,2.24E-07,IL6,IL10,2.38E-05,3.00E-07
0,0,MBL2,IL10,0,0
0.098836558,0.005364663,IL10RA,IL10,0.18308576,0.00719073
0.095531134,0.000990091,IFNG,IL10,0.176962762,0.001327106
0.05092102,0.013431074,HMOX1,IL10,0.094326572,0.018002849
0.267447601,0.006867753,IL2RB,IL10,0.495422426,0.009205453
0.277578965,0.018432228,IL32,IL10,0.514189859,0.024706335
0,0,CRP,IL1B,0,0
0.015355829,0.000490981,IL10,IL1B,0.028445281,0.000658105
0.204749047,0.025843897,SLC11A1,IL1B,0.37927904,0.034640847
0.068087171,0.003305198,CXCL8,IL1B,0.12612531,0.004430247
0.001726395,0.000110855,CSF2,IL1B,0.00319799,0.000148589
0.016440232,0.002548197,LTA,IL1B,0.030454038,0.003415572
0.06147807,0.001847951,TNF,IL1B,0.11388255,0.002476972
0.143474528,0.014157988,HLA-DRB1,IL1B,0.265773551,0.018977196
0.115578893,0.005011555,HLA-DQA1,IL1B,0.214099418,0.006717427
0.017023954,0.001814824,HLA-DQA1,IL1B,0.03153533,0.002432568
0.001660704,3.01E-05,IL6,IL1B,0.003076304,4.04E-05
0,0,MBL2,IL1B,0,0
0.122560636,0.007978697,IL10RA,IL1B,0.227032463,0.010694549
0.007236458,0.001383419,IFNG,IL1B,0.013404883,0.001854318
0.145235045,0.025665154,HMOX1,IL1B,0.269034749,0.034401261
0.007212505,0.002667795,IL2RB,IL1B,0.013360512,0.00357588
0.072180534,0.045010214,IL32,IL1B,0.133707893,0.060331146
0,0,CRP,SLC11A1,0,0
0.003553701,0.000189453,IL10,SLC11A1,0.006582908,0.00025394
0.050940872,0.009717939,IL1B,SLC11A1,0.094363346,0.013025808
0.044125689,0.00265511,CXCL8,SLC11A1,0.081738837,0.003558877
2.04E-05,3.32E-05,CSF2,SLC11A1,3.78E-05,4.46E-05
0.005547371,0.00128301,LTA,SLC11A1,0.010276002,0.001719731
0.026021723,0.001875731,TNF,SLC11A1,0.048202881,0.002514207
0.118187922,0.116013208,HLA-DRB1,SLC11A1,0.218932407,0.155502697
0.094587533,0.009398594,HLA-DQA1,SLC11A1,0.175214827,0.012597761
0.009454706,0.000934575,HLA-DQA1,SLC11A1,0.017513985,0.001252694
0.001602493,0.00010217,IL6,SLC11A1,0.002968472,0.000136948
0,0,MBL2,SLC11A1,0,0
0.093496956,0.028545557,IL10RA,SLC11A1,0.173194631,0.038262119
