feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,FCGR3A,CRP,0,0
0,0,IL10,CRP,0,0
0,0,CD28,CRP,0,0
0,0,CX3CR1,CRP,0,0
0,0,CCR2,CRP,0,0
0,0,CCR5,CRP,0,0
0,0,ALB,CRP,0,0
0,0,IL2,CRP,0,0
0,0,ABCB1,CRP,0,0
0,0,HP,CRP,0,0
0,0,IL2RA,CRP,0,0
0,0,MBL2,CRP,0,0
0,0,CXCL12,CRP,0,0
0,0,PRF1,CRP,0,0
0,0,FAS,CRP,0,0
0,0,CCL5,CRP,0,0
0,0,MKI67,CRP,0,0
0,0,TRIM5,CRP,0,0
0,0,IFNG,CRP,0,0
0,0,SERPINA1,CRP,0,0
0,0,HP,CRP,0,0
0,0,CCL2,CRP,0,0
0,0,CCL11,CRP,0,0
0,0,FAS,CRP,0,0
0,0,CCL3,CRP,0,0
0,0,CCL4L2,CRP,0,0
0,0,ALB,CRP,0,0
0,0,KIR3DL1,CRP,0,0
0,0,CYP2B6,CRP,0,0
0,0,CD40LG,CRP,0,0
0,0,HLA-B,CRP,0,0
0,0,CRP,FCGR3A,0,0
0.000332174,6.44E-05,IL10,FCGR3A,0.00058846,7.36E-05
0.004219314,0.002446698,CD28,FCGR3A,0.007474694,0.002795644
0.167321513,0.044021293,CX3CR1,FCGR3A,0.296417177,0.050299573
0.008864063,0.00582979,CCR2,FCGR3A,0.015703065,0.00666123
0.007915094,0.004055267,CCR5,FCGR3A,0.014021925,0.004633625
0,0,ALB,FCGR3A,0,0
0,0,IL2,FCGR3A,0,0
0.020964918,0.004788612,ABCB1,FCGR3A,0.037140244,0.005471559
0,0,HP,FCGR3A,0,0
0.000507437,0.001393766,IL2RA,FCGR3A,0.000898946,0.001592544
0,0,MBL2,FCGR3A,0,0
0,0,CXCL12,FCGR3A,0,0
0.279837471,0.423391317,PRF1,FCGR3A,0.495743983,0.483775036
0.026685923,0.007083761,FAS,FCGR3A,0.047275247,0.008094041
0.124976249,0.140047238,CCL5,FCGR3A,0.221400741,0.160020659
0.001084642,0.000349733,MKI67,FCGR3A,0.001921489,0.000399612
0.022203492,0.00367855,TRIM5,FCGR3A,0.03933443,0.004203182
0.024352237,0.011061369,IFNG,FCGR3A,0.043141024,0.012638933
0.056869354,0.033409326,SERPINA1,FCGR3A,0.10074648,0.038174136
0.001123693,0.00079297,HP,FCGR3A,0.00199067,0.000906063
0,0,CCL2,FCGR3A,0,0
0,0,CCL11,FCGR3A,0,0
0.010069986,0.002015642,FAS,FCGR3A,0.017839409,0.002303111
0.037642801,0.013895007,CCL3,FCGR3A,0.066685823,0.015876702
0.039606348,0.021756708,CCL4L2,FCGR3A,0.070164329,0.024859632
