feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,FCGR3A,CRP,0,0
0,0,IL10,CRP,0,0
0,0,CD28,CRP,0,0
0,0,CX3CR1,CRP,0,0
0,0,CCR2,CRP,0,0
0,0,CCR5,CRP,0,0
0,0,ALB,CRP,0,0
0,0,IL2,CRP,0,0
0,0,ABCB1,CRP,0,0
0,0,HP,CRP,0,0
0,0,IL2RA,CRP,0,0
0,0,MBL2,CRP,0,0
0,0,CXCL12,CRP,0,0
0,0,PRF1,CRP,0,0
0,0,FAS,CRP,0,0
0,0,CCL5,CRP,0,0
0,0,MKI67,CRP,0,0
0,0,TRIM5,CRP,0,0
0,0,IFNG,CRP,0,0
0,0,SERPINA1,CRP,0,0
0,0,HP,CRP,0,0
0,0,CCL2,CRP,0,0
0,0,CCL11,CRP,0,0
0,0,FAS,CRP,0,0
0,0,CCL3,CRP,0,0
0,0,CCL4L2,CRP,0,0
0,0,ALB,CRP,0,0
0,0,KIR3DL1,CRP,0,0
0,0,CYP2B6,CRP,0,0
0,0,CD40LG,CRP,0,0
0,0,HLA-B,CRP,0,0
0,0,CRP,FCGR3A,0,0
0.001747622,0.000612172,IL10,FCGR3A,0.00326843,0.000982585
0.004861626,0.005492734,CD28,FCGR3A,0.009092287,0.00881628
0.269300137,0.242444671,CX3CR1,FCGR3A,0.503649205,0.389143217
0.024521356,0.017326786,CCR2,FCGR3A,0.045860212,0.027810886
0.004753088,0.001926613,CCR5,FCGR3A,0.008889296,0.003092369
0,0,ALB,FCGR3A,0,0
2.38E-05,1.52E-05,IL2,FCGR3A,4.45E-05,2.44E-05
0.011686951,0.003101705,ABCB1,FCGR3A,0.021857113,0.004978487
0.002217839,0.000917881,HP,FCGR3A,0.004147836,0.001473272
0.000702166,0.000291733,IL2RA,FCGR3A,0.001313202,0.000468255
0,0,MBL2,FCGR3A,0,0
0,0,CXCL12,FCGR3A,0,0
0.196652455,0.41463914,PRF1,FCGR3A,0.367782407,0.665529203
0.020010362,0.0047121,FAS,FCGR3A,0.037423682,0.007563299
0.06630671,0.101843275,CCL5,FCGR3A,0.124007816,0.163466656
0.001526784,0.000515101,MKI67,FCGR3A,0.002855415,0.000826779
0.017241427,0.003689009,TRIM5,FCGR3A,0.032245179,0.005921156
0.013477722,0.005246032,IFNG,FCGR3A,0.02520624,0.008420304
0.182466393,0.233697229,SERPINA1,FCGR3A,0.341251418,0.375102868
0.003408644,0.001876058,HP,FCGR3A,0.006374898,0.003011224
0.000661305,0.000299236,CCL2,FCGR3A,0.001236784,0.000480298
0,0,CCL11,FCGR3A,0,0
0.009686139,0.001182934,FAS,FCGR3A,0.018115164,0.001898705
0.035660064,0.030915609,CCL3,FCGR3A,0.066691993,0.049622042
