Entity 1,Entity 2,Weight,Network group,Network
MBL2,HP,0.007480172,Co-expression,Roth-Zlotnik-2006
CRP,HP,0.008465139,Co-expression,Roth-Zlotnik-2006
CRP,MBL2,0.019627798,Co-expression,Roth-Zlotnik-2006
HLA-B,TRIM5,0.0067529646,Co-expression,Roth-Zlotnik-2006
CD40LG,KIR3DL1,0.014170734,Co-expression,Roth-Zlotnik-2006
CD40LG,CCR2,0.016336314,Co-expression,Roth-Zlotnik-2006
CD40LG,IL2RA,0.019016154,Co-expression,Roth-Zlotnik-2006
CD40LG,CD28,0.020253703,Co-expression,Roth-Zlotnik-2006
CD40LG,IFNG,0.016519032,Co-expression,Roth-Zlotnik-2006
CCR5,PRF1,0.014898381,Co-expression,Roth-Zlotnik-2006
SERPINA1,HP,0.011151341,Co-expression,Roth-Zlotnik-2006
CXCL12,HLA-B,0.008002869,Co-expression,Roth-Zlotnik-2006
ALB,HP,0.007498115,Co-expression,Roth-Zlotnik-2006
ALB,MBL2,0.013086365,Co-expression,Roth-Zlotnik-2006
CCL5,PRF1,0.011313443,Co-expression,Roth-Zlotnik-2006
CCL5,IFNG,0.013131844,Co-expression,Roth-Zlotnik-2006
CCL5,HLA-B,0.0052238856,Co-expression,Roth-Zlotnik-2006
CCL5,CCR5,0.014648189,Co-expression,Roth-Zlotnik-2006
CX3CR1,CCL3,0.009857325,Co-expression,Innocenti-Brown-2011
CCR2,CX3CR1,0.012300976,Co-expression,Innocenti-Brown-2011
CD28,CCL3,0.01585938,Co-expression,Innocenti-Brown-2011
CD28,CX3CR1,0.012429152,Co-expression,Innocenti-Brown-2011
IFNG,CCL3,0.017628325,Co-expression,Innocenti-Brown-2011
CCR5,CCL3,0.0074064154,Co-expression,Innocenti-Brown-2011
CCR5,CX3CR1,0.006968431,Co-expression,Innocenti-Brown-2011
CCR5,CCR2,0.011835343,Co-expression,Innocenti-Brown-2011
CCR5,PRF1,0.0074609746,Co-expression,Innocenti-Brown-2011
CCR5,CD28,0.010662686,Co-expression,Innocenti-Brown-2011
CCL2,CCL3,0.01231407,Co-expression,Innocenti-Brown-2011
CCL2,CCL11,0.01237243,Co-expression,Innocenti-Brown-2011
ALB,HP,0.028902253,Co-expression,Innocenti-Brown-2011
CCL5,PRF1,0.0074135135,Co-expression,Innocenti-Brown-2011
CCL5,CD28,0.0074341604,Co-expression,Innocenti-Brown-2011
CCL5,IFNG,0.007217673,Co-expression,Innocenti-Brown-2011
CCL5,CCR5,0.0040818895,Co-expression,Innocenti-Brown-2011
CCL11,CCR5,0.013208977,Co-expression,Alizadeh-Staudt-2000
CCL2,CCR5,0.011988276,Co-expression,Alizadeh-Staudt-2000
CCL2,FAS,0.015235048,Co-expression,Alizadeh-Staudt-2000
CCL2,CCL11,0.012182925,Co-expression,Alizadeh-Staudt-2000
CXCL12,CCR5,0.012873591,Co-expression,Alizadeh-Staudt-2000
CXCL12,CCL11,0.013306107,Co-expression,Alizadeh-Staudt-2000
CXCL12,CCL2,0.011776303,Co-expression,Alizadeh-Staudt-2000
CCL5,CCR5,0.0073210243,Co-expression,Alizadeh-Staudt-2000
CCL5,FAS,0.0067822216,Co-expression,Alizadeh-Staudt-2000
CCL5,CCL11,0.0060383454,Co-expression,Alizadeh-Staudt-2000
CCL5,CCL2,0.0067944364,Co-expression,Alizadeh-Staudt-2000
