feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,CRP,ARG1,0,0
2.80E-06,3.85E-08,IL10,ARG1,3.73E-06,4.78E-08
0.002599608,3.94E-06,IL1B,ARG1,0.003459135,4.90E-06
0.298642636,7.48E-05,SLC11A1,ARG1,0.397384959,9.30E-05
0.000101547,1.51E-06,CCR5,ARG1,0.000135122,1.88E-06
1.62E-05,2.24E-06,CXCL8,ARG1,2.16E-05,2.79E-06
0,0,CSF2,ARG1,0,0
0,0,IL4,ARG1,0,0
0.000451873,4.01E-06,LTA,ARG1,0.000601279,4.99E-06
0.008138803,1.07E-05,TNF,ARG1,0.010829793,1.33E-05
0.013121697,4.64E-05,HLA-DQA1,ARG1,0.017460216,5.77E-05
0.00119717,5.32E-06,HLA-DQA1,ARG1,0.001592998,6.61E-06
0,0,IL6,ARG1,0,0
0,0,MBL2,ARG1,0,0
0.392607046,8.46E-05,HMOX1,ARG1,0.522417485,0.000105223
0.000633505,9.24E-06,IL18,ARG1,0.000842965,1.15E-05
0.001471887,8.96E-06,IFNG,ARG1,0.001958548,1.11E-05
0,0,CCL2,ARG1,0,0
0.281015179,0.000113882,HLA-DRB1,ARG1,0.373929211,0.000141566
0,0,ARG1,CRP,0,0
0,0,IL10,CRP,0,0
0,0,IL1B,CRP,0,0
0,0,SLC11A1,CRP,0,0
0,0,CCR5,CRP,0,0
0,0,CXCL8,CRP,0,0
0,0,CSF2,CRP,0,0
0,0,IL4,CRP,0,0
0,0,LTA,CRP,0,0
0,0,TNF,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,ARG1,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,IL6,CRP,0,0
0,0,MBL2,CRP,0,0
0,0,HMOX1,CRP,0,0
0,0,IL18,CRP,0,0
0,0,IFNG,CRP,0,0
0,0,CCL2,CRP,0,0
0,0,HLA-DRB1,CRP,0,0
0,0,ARG1,IL10,0,0
0,0,CRP,IL10,0,0
0.006408805,7.47E-06,IL1B,IL10,0.008527793,9.29E-06
0.267589248,0.00051959,SLC11A1,IL10,0.356064169,0.000645899
0.008638319,6.83E-06,CCR5,IL10,0.011494468,8.48E-06
0.003900868,2.58E-06,CXCL8,IL10,0.005190639,3.21E-06
0,0,CSF2,IL10,0,0
0,0,IL4,IL10,0,0
3.70E-05,7.48E-06,LTA,IL10,4.92E-05,9.30E-06
0.005951245,9.09E-06,TNF,IL10,0.007918948,1.13E-05
0.121475364,0.000162969,HLA-DQA1,IL10,0.161639621,0.000202585
4.30E-07,7.12E-08,ARG1,IL10,5.72E-07,8.85E-08
0.00843368,5.23E-06,HLA-DQA1,IL10,0.011222167,6.50E-06
0,0,IL6,IL10,0,0
0,0,MBL2,IL10,0,0
0.249297224,0.000526002,HMOX1,IL10,0.331724125,0.00065387
0.009578272,1.20E-05,IL18,IL10,0.012745203,1.49E-05
0.002023453,7.87E-06,IFNG,IL10,0.002692481,9.79E-06
4.30E-06,2.52E-08,CCL2,IL10,5.72E-06,3.13E-08
0.316661806,0.000408927,HLA-DRB1,IL10,0.421361934,0.000508335
0,0,ARG1,IL1B,0,0
0,0,CRP,IL1B,0,0
0.000107418,9.71E-06,IL10,IL1B,0.000142934,1.21E-05
0.196507621,0.055277741,SLC11A1,IL1B,0.261480323,0.068715487
0.01816066,0.001618424,CCR5,IL1B,0.024165247,0.002011855
0.072164398,0.003182464,CXCL8,IL1B,0.096024623,0.003956105
0,0,CSF2,IL1B,0,0
0,0,IL4,IL1B,0,0
0.000473781,0.000250877,LTA,IL1B,0.00063043,0.000311864
0.036280994,0.001008626,TNF,IL1B,0.048276835,0.001253818
0.111872551,0.034592839,HLA-DQA1,IL1B,0.148861762,0.043002188
2.20E-05,1.14E-06,ARG1,IL1B,2.93E-05,1.42E-06
0.038557209,0.004157648,HLA-DQA1,IL1B,0.051305651,0.005168352
3.13E-07,8.74E-06,IL6,IL1B,4.17E-07,1.09E-05
0,0,MBL2,IL1B,0,0
0.149211794,0.041395348,HMOX1,IL1B,0.198546742,0.051458353
0.076534954,0.011654021,IL18,IL1B,0.101840246,0.014487056
0.009782793,0.007413947,IFNG,IL1B,0.013017348,0.009216241
0.00845612,0.000641402,CCL2,IL1B,0.011252026,0.000797324
0.281867381,0.095609712,HLA-DRB1,IL1B,0.375063183,0.118851961
0,0,ARG1,SLC11A1,0,0
0,0,CRP,SLC11A1,0,0
0.001374394,0.000512775,IL10,SLC11A1,0.001828819,0.000637429
0.042852173,0.013440006,IL1B,SLC11A1,0.057020689,0.016707205
0.007500768,0.002029735,CCR5,SLC11A1,0.0099808,0.002523154
0.055099055,0.03018773,CXCL8,SLC11A1,0.073316845,0.037526218
0,0,CSF2,SLC11A1,0,0
0,0,IL4,SLC11A1,0,0
0.003263266,0.002455994,LTA,SLC11A1,0.004342222,0.003053034
