feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0,0,IL10,CRP,0,0
0,0,IL1B,CRP,0,0
0,0,SLC11A1,CRP,0,0
0,0,CXCL8,CRP,0,0
0,0,CSF2,CRP,0,0
0,0,LTA,CRP,0,0
0,0,TNF,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,HLA-DQA1,CRP,0,0
0,0,IL6,CRP,0,0
0,0,MBL2,CRP,0,0
0,0,IFNG,CRP,0,0
0,0,IL10RA,CRP,0,0
0,0,IL2RB,CRP,0,0
0,0,HMOX1,CRP,0,0
0,0,HLA-DRB1,CRP,0,0
0,0,IL32,CRP,0,0
0,0,CRP,IL10,0,0
0.001595623,2.95E-06,IL1B,IL10,0.002724245,4.31E-06
0.098337298,0.000372178,SLC11A1,IL10,0.167893671,0.000544724
0.001253342,5.34E-06,CXCL8,IL10,0.002139861,7.81E-06
0,0,CSF2,IL10,0,0
0.000989942,1.59E-06,LTA,IL10,0.001690152,2.33E-06
0.003776031,6.05E-06,TNF,IL10,0.00644691,8.85E-06
0.064569646,9.18E-05,HLA-DQA1,IL10,0.110241333,0.000134367
0.004967061,8.05E-06,HLA-DQA1,IL10,0.008480384,1.18E-05
0,0,IL6,IL10,0,0
0,0,MBL2,IL10,0,0
0.000812245,3.99E-06,IFNG,IL10,0.001386766,5.84E-06
0.530513072,0.00069549,IL10RA,IL10,0.905757926,0.001017927
0.014993439,0.000140669,IL2RB,IL10,0.025598665,0.000205885
0.123283509,0.000413958,HMOX1,IL10,0.210484946,0.000605874
0.131339376,0.000757637,HLA-DRB1,IL10,0.224238925,0.001108886
0.023569416,0.000710215,IL32,IL10,0.04024064,0.001039478
0,0,CRP,IL1B,0,0
1.15E-05,1.13E-06,IL10,IL1B,1.96E-05,1.65E-06
0.171261407,0.047442912,SLC11A1,IL1B,0.292398783,0.069437939
0.068793151,0.00130277,CXCL8,IL1B,0.117452227,0.001906748
0,0,CSF2,IL1B,0,0
0.000775862,0.000148847,LTA,IL1B,0.001324648,0.000217855
0.036796454,0.000470587,TNF,IL1B,0.062823484,0.000688755
0.104984862,0.010304599,HLA-DQA1,IL1B,0.179243219,0.015081919
0.03662744,0.002896151,HLA-DQA1,IL1B,0.062534923,0.004238837
6.99E-05,3.38E-06,IL6,IL1B,0.000119294,4.94E-06
0,0,MBL2,IL1B,0,0
0.008684006,0.005516093,IFNG,IL1B,0.014826415,0.008073411
0.148943321,0.012593432,IL10RA,IL1B,0.254294569,0.018431878
0.006217434,0.003728624,IL2RB,IL1B,0.010615177,0.005457253
0.123225022,0.025994761,HMOX1,IL1B,0.21038509,0.038046202
0.222238247,0.058425667,HLA-DRB1,IL1B,0.379432786,0.085512414
0.071371467,0.053248489,IL32,IL1B,0.121854248,0.077935042
0,0,CRP,SLC11A1,0,0
0.000999214,0.000191046,IL10,SLC11A1,0.001705982,0.000279616
0.031129733,0.018966121,IL1B,SLC11A1,0.053148554,0.027759012
0.031570988,0.024959898,CXCL8,SLC11A1,0.053901919,0.036531567
0,0,CSF2,SLC11A1,0,0
0.001660323,0.001462403,LTA,SLC11A1,0.002834711,0.002140388
0.018988459,0.002637317,TNF,SLC11A1,0.03241946,0.003860005
0.118798579,0.023598468,HLA-DQA1,SLC11A1,0.202827715,0.034538964
0.015007383,0.001872393,HLA-DQA1,SLC11A1,0.025622471,0.002740454
0.0006785,0.000230537,IL6,SLC11A1,0.001158419,0.000337416
0,0,MBL2,SLC11A1,0,0
0.004663232,0.003008292,IFNG,SLC11A1,0.007961651,0.004402967
0.083377103,0.021407839,IL10RA,SLC11A1,0.142351764,0.031332735
0.037127359,0.018700879,IL2RB,SLC11A1,0.063388447,0.027370802
