Gene1,Gene2,EdgeWeight
SRY,AMH,0.04392747137105625
PGD2,AMH,0.3430300992554606
DKK1,AMH,0.0608185629213294
UGR,AMH,0.026991903577105954
SOX9,AMH,0.09853530876491765
CBX2,AMH,0.039119337709568054
DHH,AMH,0.31158565797749793
DMRT1,AMH,0.053676948823106405
WT1pKTS,AMH,0.020662843843088155
NR5A1,AMH,0.048559131100952654
FGF9,AMH,0.7031674017114005
CTNNB1,AMH,0.02284769125552335
NR0B1,AMH,0.13062528646739469
FOXL2,AMH,0.026492221459301014
RSPO1,AMH,0.04249825461036162
GATA4,AMH,0.002890409460369574
WNT4,AMH,0.06223587701290625
WT1mKTS,AMH,0.027744630643634693
AMH,SRY,0.04559603076488678
PGD2,SRY,0.05169662465781578
DKK1,SRY,0.3467027414553638
UGR,SRY,0.16206101398994707
SOX9,SRY,0.09791900963112785
CBX2,SRY,0.041499106858008665
DHH,SRY,0.058300262859844014
DMRT1,SRY,0.609864823287168
WT1pKTS,SRY,0.13781097175417908
NR5A1,SRY,0.05424100333919558
FGF9,SRY,0.046153235589558236
CTNNB1,SRY,0.10894102872521315
NR0B1,SRY,0.027935131655772237
FOXL2,SRY,0.11404760232240557
RSPO1,SRY,0.03732899871578575
GATA4,SRY,0.029927723619826055
WNT4,SRY,0.04451331864164537
WT1mKTS,SRY,0.052244322316628095
AMH,PGD2,0.2662364324180787
SRY,PGD2,0.04911590476824739
DKK1,PGD2,0.0702426728828492
UGR,PGD2,0.01869916332707882
SOX9,PGD2,0.11203962384803148
CBX2,PGD2,0.0284115218512354
DHH,PGD2,0.40949181890736136
DMRT1,PGD2,0.0631462767709579
WT1pKTS,PGD2,0.01905223982065274
NR5A1,PGD2,0.03277269638687295
FGF9,PGD2,0.7193818268136843
CTNNB1,PGD2,0.03560020751626941
NR0B1,PGD2,0.10267825165263521
FOXL2,PGD2,0.02905983547000879
RSPO1,PGD2,0.048609218799756826
GATA4,PGD2,0.0031550424528920787
WNT4,PGD2,0.07235178181647815
WT1mKTS,PGD2,0.035053259232540296
AMH,DKK1,0.06463137654963874
SRY,DKK1,0.19292995274891817
PGD2,DKK1,0.07962272482672884
UGR,DKK1,0.06220004868867062
SOX9,DKK1,0.18864393721349554
CBX2,DKK1,0.07392302767852735
DHH,DKK1,0.06817824644198894
DMRT1,DKK1,0.9805547303112996
WT1pKTS,DKK1,0.05751245977272391
NR5A1,DKK1,0.014940259963042431
FGF9,DKK1,0.07403449604524318
CTNNB1,DKK1,0.08698358913742162
NR0B1,DKK1,0.015481403499257612
FOXL2,DKK1,0.051502207515681166
RSPO1,DKK1,0.02465291817268133
GATA4,DKK1,0.05936252710997991
WNT4,DKK1,0.05394668589284912
WT1mKTS,DKK1,0.03173764039484901
AMH,UGR,0.030768997118952392
SRY,UGR,0.4011332043019962
PGD2,UGR,0.021454573938988766
DKK1,UGR,0.07221852248613811
SOX9,UGR,0.04378574108169267
CBX2,UGR,0.5835127471948945
DHH,UGR,0.014252560850043493
DMRT1,UGR,0.06615357627901376
WT1pKTS,UGR,0.006063792745780006
NR5A1,UGR,0.02051758430572946
FGF9,UGR,0.028649342118401196
CTNNB1,UGR,0.059014143730550715
NR0B1,UGR,0.14689266421545527
FOXL2,UGR,0.010961469373878485
RSPO1,UGR,0.06484803155180667
GATA4,UGR,0.0875828277521366
WNT4,UGR,0.144726260831065
WT1mKTS,UGR,0.07288712147162277
AMH,SOX9,0.15276040516363742
SRY,SOX9,0.07809961909225763
PGD2,SOX9,0.4561664371454827
DKK1,SOX9,0.16014428975542574
UGR,SOX9,0.041186641993148886
CBX2,SOX9,0.05575342399337287
DHH,SOX9,0.35301494058521254
DMRT1,SOX9,0.1401690576577891
WT1pKTS,SOX9,0.03811481376001672
NR5A1,SOX9,0.16620284849530254
FGF9,SOX9,0.2426590890672199
CTNNB1,SOX9,0.04550593638144897
NR0B1,SOX9,0.03999467824786231
FOXL2,SOX9,0.03543251660198988
RSPO1,SOX9,0.07641525349094815
GATA4,SOX9,0.04929747708669656
WNT4,SOX9,0.09272587236768676
WT1mKTS,SOX9,0.017133889676634692
AMH,CBX2,0.0449362639439071
SRY,CBX2,0.10971982789065302
PGD2,CBX2,0.03547782018570725
DKK1,CBX2,0.13102466198060037
UGR,CBX2,0.6559282312464373
SOX9,CBX2,0.07320167054109064
DHH,CBX2,0.056489435903459215
DMRT1,CBX2,0.13273577729992275
WT1pKTS,CBX2,0.052432760244619694
NR5A1,CBX2,0.18306130369484525
FGF9,CBX2,0.051885741820822465
CTNNB1,CBX2,0.06292695656572028
NR0B1,CBX2,0.012595542480367632
FOXL2,CBX2,0.051790674909743505
RSPO1,CBX2,0.07561651400832586
GATA4,CBX2,0.05997880406673171
WNT4,CBX2,0.026383915823019702
WT1mKTS,CBX2,0.0482744275839539
AMH,DHH,0.2588854399628937
SRY,DHH,0.05547592851973561
PGD2,DHH,0.49326512023000013
DKK1,DHH,0.06357647272124281
UGR,DHH,0.010099687854594284
SOX9,DHH,0.11014848272328578
CBX2,DHH,0.04967801337190226
DMRT1,DHH,0.05950212619889093
WT1pKTS,DHH,0.025001091679751408
NR5A1,DHH,0.040443976200850884
FGF9,DHH,0.6411840933296064
CTNNB1,DHH,0.025840237208332142
NR0B1,DHH,0.10041466117772697
FOXL2,DHH,0.01984953419925999
RSPO1,DHH,0.04205338632179868
GATA4,DHH,0.0032277082407618464
WNT4,DHH,0.06857139331125296
WT1mKTS,DHH,0.0015220977258599703
AMH,DMRT1,0.0562936397955882
SRY,DMRT1,0.18181604093729203
PGD2,DMRT1,0.07117236248435943
DKK1,DMRT1,0.999999999999015
UGR,DMRT1,0.057898462115204954
SOX9,DMRT1,0.19245152966561202
CBX2,DMRT1,0.0779032065975024
DHH,DMRT1,0.0667873863506124
WT1pKTS,DMRT1,0.04706336707513651
NR5A1,DMRT1,0.011281355457222093
FGF9,DMRT1,0.07404603495282591
CTNNB1,DMRT1,0.09022892348405974
NR0B1,DMRT1,0.0109333406479169
FOXL2,DMRT1,0.049836165509497814
RSPO1,DMRT1,0.027661781700509338
GATA4,DMRT1,0.02224773917793521
WNT4,DMRT1,0.06083579024382778
WT1mKTS,DMRT1,0.06402470369675874
AMH,WT1pKTS,0.024999091012486842
SRY,WT1pKTS,0.12235071871147202
PGD2,WT1pKTS,0.02325077190915213
DKK1,WT1pKTS,0.06436093080029086
UGR,WT1pKTS,0.010200093081727497
SOX9,WT1pKTS,0.04192780890477427
CBX2,WT1pKTS,0.031805595096615145
DHH,WT1pKTS,0.029576119140395322
DMRT1,WT1pKTS,0.0519608383040457
NR5A1,WT1pKTS,0.11707367785603337
FGF9,WT1pKTS,0.01761391220287717
CTNNB1,WT1pKTS,0.2201245992767261
NR0B1,WT1pKTS,0.04339154816614014
FOXL2,WT1pKTS,0.9379905254066094
RSPO1,WT1pKTS,0.1052535508641142
GATA4,WT1pKTS,0.04413572907462343
WNT4,WT1pKTS,0.05145281800617074
WT1mKTS,WT1pKTS,0.07643509385457009
AMH,NR5A1,0.05575285369791127
SRY,NR5A1,0.04060282762826922
PGD2,NR5A1,0.04319351827399254
DKK1,NR5A1,0.035265458010236894
UGR,NR5A1,0.02099630302824094
SOX9,NR5A1,0.14129720520952127
CBX2,NR5A1,0.11097730479173341
DHH,NR5A1,0.04774516398758658
DMRT1,NR5A1,0.04329332200666558
WT1pKTS,NR5A1,0.1213498714340746
FGF9,NR5A1,0.05230538191454363
CTNNB1,NR5A1,0.17858079390955117
NR0B1,NR5A1,0.10152835751845314
FOXL2,NR5A1,0.14885868161697982
RSPO1,NR5A1,0.7444450349091329
GATA4,NR5A1,0.03733373537234548
WNT4,NR5A1,0.06564780959681554
