Gene1,Gene2,EdgeWeight
AMH,CBX2,0.03611130208536364
AMH,CTNNB1,0.033930991638202006
AMH,DHH,0.641542706304054
AMH,DKK1,0.19598674303699182
AMH,DMRT1,0.13295174468488213
AMH,FGF9,0.6003618526581804
AMH,FOXL2,0.05928104175669612
AMH,GATA4,0.11110030670520923
AMH,NR0B1,0.19019546708392876
AMH,NR5A1,0.0773951053688376
AMH,PGD2,0.48649791161607603
AMH,RSPO1,0.039998618925858105
AMH,SOX9,0.18557207394979075
AMH,SRY,0.0706750683145427
AMH,UGR,0.03987856103274392
AMH,WNT4,0.0664757660146538
AMH,WT1mKTS,0.036038543894061685
AMH,WT1pKTS,0.024759809226786035
CBX2,AMH,0.054242233224609394
CBX2,CTNNB1,0.3687532785104518
CBX2,DHH,0.0750725822587039
CBX2,DKK1,0.6765572064607572
CBX2,DMRT1,0.5331688258038457
CBX2,FGF9,0.08420195901967406
CBX2,FOXL2,0.09050480849311496
CBX2,GATA4,0.08608702925717818
CBX2,NR0B1,0.03604375607160945
CBX2,NR5A1,0.3383427392190287
CBX2,PGD2,0.049917108316912685
CBX2,RSPO1,0.3157455365982425
CBX2,SOX9,0.09616528515804942
CBX2,SRY,0.07536942531020205
CBX2,UGR,0.18025853141349404
CBX2,WNT4,0.02301720998579
CBX2,WT1mKTS,0.062179652362069224
CBX2,WT1pKTS,0.05386441634225412
CTNNB1,AMH,0.04592583669932608
CTNNB1,CBX2,0.6339092279392182
CTNNB1,DHH,0.04929647778784865
CTNNB1,DKK1,0.0994118025213939
CTNNB1,DMRT1,0.09807615585716031
CTNNB1,FGF9,0.06461231665737865
CTNNB1,FOXL2,0.2419973302873906
CTNNB1,GATA4,0.06399936689383418
CTNNB1,NR0B1,0.11215852672988166
CTNNB1,NR5A1,0.35408974728484854
CTNNB1,PGD2,0.03961748531149285
CTNNB1,RSPO1,0.5814493470706686
CTNNB1,SOX9,0.08886316614092957
CTNNB1,SRY,0.0943066286196601
CTNNB1,UGR,0.1446527315202067
CTNNB1,WNT4,0.35107650194786433
CTNNB1,WT1mKTS,0.057563435631623514
CTNNB1,WT1pKTS,0.2161504348721841
DHH,AMH,0.7334514124781653
DHH,CBX2,0.07556316675046315
DHH,CTNNB1,0.041873733211077714
DHH,DKK1,0.12178171896934664
DHH,DMRT1,0.11557577449982226
DHH,FGF9,0.883398631360218
DHH,FOXL2,0.030084730457693026
DHH,GATA4,0.1352536902664085
DHH,NR0B1,0.17276307155213377
DHH,NR5A1,0.05327231833218268
DHH,PGD2,0.5593054132119916
DHH,RSPO1,0.049268587057381796
DHH,SOX9,0.28205740991640377
DHH,SRY,0.07187915982451823
DHH,UGR,0.029151630986086592
DHH,WNT4,0.10476747598917194
DHH,WT1mKTS,0.06022240580671342
DHH,WT1pKTS,0.0322294504268087
DKK1,AMH,0.143446341760339
DKK1,CBX2,0.7875104739947718
DKK1,CTNNB1,0.11352174836855006
DKK1,DHH,0.18277043547631167
DKK1,DMRT1,0.6733740165304845
DKK1,FGF9,0.17386233649171973
DKK1,FOXL2,0.0676763917138231
DKK1,GATA4,0.06770728214944312
DKK1,NR0B1,0.046796005951773634
DKK1,NR5A1,0.05054597381456202
DKK1,PGD2,0.14565592124119997
DKK1,RSPO1,0.06619570145895007
DKK1,SOX9,0.14861003905831238
DKK1,SRY,0.18554986898427572
DKK1,UGR,0.29620909338239676
DKK1,WNT4,0.08218757935996196
DKK1,WT1mKTS,0.10284989282375592
DKK1,WT1pKTS,0.08881736364855086
DMRT1,AMH,0.13920921415256654
DMRT1,CBX2,0.5839123871718497
DMRT1,CTNNB1,0.10581397357861612
DMRT1,DHH,0.16894956296580876
DMRT1,DKK1,0.829698191052707
DMRT1,FGF9,0.21169846496301706
DMRT1,FOXL2,0.08932391520289931
DMRT1,GATA4,0.08721426999446323
DMRT1,NR0B1,0.03563270715493848
DMRT1,NR5A1,0.058887663091739595
DMRT1,PGD2,0.16255410527946262
DMRT1,RSPO1,0.06460573743032622
DMRT1,SOX9,0.1660081056829365
DMRT1,SRY,0.2527357085305254
DMRT1,UGR,0.3388678254525419
DMRT1,WNT4,0.11057360623090637
DMRT1,WT1mKTS,0.11280602269602785
DMRT1,WT1pKTS,0.08392087552682248
FGF9,AMH,0.5367643045097615
FGF9,CBX2,0.058994474501306765
FGF9,CTNNB1,0.0465694634894129
FGF9,DHH,0.7312203767699775
FGF9,DKK1,0.11341305149167683
FGF9,DMRT1,0.1167322122789562
FGF9,FOXL2,0.028042632534532784
FGF9,GATA4,0.09974066634518708
FGF9,NR0B1,0.1284931382774029
FGF9,NR5A1,0.06866585654081256
FGF9,PGD2,0.4017922192874286
FGF9,RSPO1,0.06631492522716904
FGF9,SOX9,0.16133221617470905
FGF9,SRY,0.09384045785348019
FGF9,UGR,0.04475723877147219
FGF9,WNT4,0.10476621884607859
FGF9,WT1mKTS,0.16293212658190112
FGF9,WT1pKTS,0.04160974878844831
FOXL2,AMH,0.06276430462600674
FOXL2,CBX2,0.11149522511738806
FOXL2,CTNNB1,0.149513131074069
FOXL2,DHH,0.0579068984219088
FOXL2,DKK1,0.08513307311247853
FOXL2,DMRT1,0.08065518222282328
FOXL2,FGF9,0.03954720265323121
FOXL2,GATA4,0.0719506439652753
FOXL2,NR0B1,0.05328558335835298
FOXL2,NR5A1,0.23856616800586403
FOXL2,PGD2,0.05807620922828613
FOXL2,RSPO1,0.1429464950737649
FOXL2,SOX9,0.06179020020159064
FOXL2,SRY,0.1876399793532551
FOXL2,UGR,0.052749653562482145
FOXL2,WNT4,0.09500143481172955
FOXL2,WT1mKTS,0.04977070353492782
FOXL2,WT1pKTS,0.9968719571059954
GATA4,AMH,0.06413863079496684
GATA4,CBX2,0.07483596778376361
GATA4,CTNNB1,0.05416241078650676
GATA4,DHH,0.11327374708521351
GATA4,DKK1,0.038652062801553096
GATA4,DMRT1,0.11885758619902942
GATA4,FGF9,0.08940860075283258
GATA4,FOXL2,0.08046774090206409
GATA4,NR0B1,0.07902969527540095
GATA4,NR5A1,0.08096893442587087
GATA4,PGD2,0.07940830135917319
GATA4,RSPO1,0.02451697656959962
GATA4,SOX9,0.0757131428987314
GATA4,SRY,0.0749237725589973
GATA4,UGR,0.10458629640001507
GATA4,WNT4,0.07947508996774744
GATA4,WT1mKTS,0.39470756712068217
GATA4,WT1pKTS,0.3579459283700209
NR0B1,AMH,0.2027398041791888
NR0B1,CBX2,0.049817588692409
NR0B1,CTNNB1,0.11375812082990802
NR0B1,DHH,0.17279052289416982
NR0B1,DKK1,0.03779386627714182
NR0B1,DMRT1,0.047221638467710464
NR0B1,FGF9,0.1436790548089733
NR0B1,FOXL2,0.04213120655032694
NR0B1,GATA4,0.052424328019419104
NR0B1,NR5A1,0.13390601341944075
NR0B1,PGD2,0.12858331764653697
NR0B1,RSPO1,0.18420615294200243
NR0B1,SOX9,0.04571340456415972
NR0B1,SRY,0.09692850033871878
NR0B1,UGR,0.6738248181219787
NR0B1,WNT4,0.5308806066980303
NR0B1,WT1mKTS,0.026817185318622462
NR0B1,WT1pKTS,0.042862693678279155
NR5A1,AMH,0.08524607233425865
NR5A1,CBX2,0.32282121474004943
