Gene1,Gene2,EdgeWeight
AMH,AMH,0.09999999999991804
AMH,CBX2,0.2575755610437416
AMH,CTNNB1,0.21601784375205949
AMH,DHH,0.44308827870183165
AMH,DKK1,0.2689059607027664
AMH,DMRT1,0.3173415022984823
AMH,FGF9,0.40606321068538853
AMH,FOXL2,0.20414046525421906
AMH,GATA4,0.27779357579004016
AMH,NR0B1,0.39905793686974433
AMH,NR5A1,0.305359570438324
AMH,PGD2,0.42241977757435023
AMH,RSPO1,0.2573645908723572
AMH,SOX9,0.33100232603634916
AMH,SRY,0.24976077053553375
AMH,UGR,0.31165658079498815
AMH,WNT4,0.2770911322228339
AMH,WT1mKTS,0.24729642454431222
AMH,WT1pKTS,0.2771362328051159
CBX2,AMH,0.2904613654703719
CBX2,CBX2,0.09999999999991804
CBX2,CTNNB1,0.31663201741263575
CBX2,DHH,0.3246189453405796
CBX2,DKK1,0.34606744499753866
CBX2,DMRT1,0.36903747652595736
CBX2,FGF9,0.3282179119270538
CBX2,FOXL2,0.3231487641732873
CBX2,GATA4,0.31044677858249875
CBX2,NR0B1,0.2751708394134546
CBX2,NR5A1,0.37934565961942035
CBX2,PGD2,0.3107865495621809
CBX2,RSPO1,0.3186342127409057
CBX2,SOX9,0.29485584406770265
CBX2,SRY,0.29063915704418525
CBX2,UGR,0.4301661140385259
CBX2,WNT4,0.2901845525443727
CBX2,WT1mKTS,0.2811479643385343
CBX2,WT1pKTS,0.3649764355905793
CTNNB1,AMH,0.3041123233404872
CTNNB1,CBX2,0.3948362675670641
CTNNB1,CTNNB1,0.09999999999991804
CTNNB1,DHH,0.25836207881213186
CTNNB1,DKK1,0.5213593585438023
CTNNB1,DMRT1,0.4904234943832386
CTNNB1,FGF9,0.24419635308701332
CTNNB1,FOXL2,0.5004465811849846
CTNNB1,GATA4,0.2594083207665445
CTNNB1,NR0B1,0.30392075534120067
CTNNB1,NR5A1,0.3826263537673021
CTNNB1,PGD2,0.31770858563332194
CTNNB1,RSPO1,0.5383439658292035
CTNNB1,SOX9,0.3518744081456606
CTNNB1,SRY,0.36292074119271434
CTNNB1,UGR,0.35327891213845275
CTNNB1,WNT4,0.35352309553631306
CTNNB1,WT1mKTS,0.311647649555522
CTNNB1,WT1pKTS,0.35226150361329844
DHH,AMH,0.39304899157354756
DHH,CBX2,0.2582079002222128
DHH,CTNNB1,0.2505002286216691
DHH,DHH,0.09999999999991804
DHH,DKK1,0.280677989468177
DHH,DMRT1,0.2960844213481415
DHH,FGF9,0.39192917044708486
DHH,FOXL2,0.22735449031022453
DHH,GATA4,0.2622239122142659
DHH,NR0B1,0.37088593845766965
DHH,NR5A1,0.3145390924548577
DHH,PGD2,0.49627083868411537
DHH,RSPO1,0.2757021057436116
DHH,SOX9,0.3958196048724191
DHH,SRY,0.2695973209675271
DHH,UGR,0.2542317036552294
DHH,WNT4,0.27872729598822127
DHH,WT1mKTS,0.281050477984956
DHH,WT1pKTS,0.2840267918241491
DKK1,AMH,0.2816492074980401
DKK1,CBX2,0.3834907230214901
DKK1,CTNNB1,0.4331948104360436
DKK1,DHH,0.28938711576696774
DKK1,DKK1,0.09999999999991804
DKK1,DMRT1,0.6808001933529256
DKK1,FGF9,0.3234942996731802
DKK1,FOXL2,0.3992680727649433
DKK1,GATA4,0.2922659897684581
DKK1,NR0B1,0.25953632919074404
DKK1,NR5A1,0.25980885813540583
DKK1,PGD2,0.3142138656421076
DKK1,RSPO1,0.3382912968205702
DKK1,SOX9,0.5004431010839019
DKK1,SRY,0.5715073377579687
DKK1,UGR,0.34824331047307333
DKK1,WNT4,0.4123310988584288
DKK1,WT1mKTS,0.26321472652671124
DKK1,WT1pKTS,0.3098376740219058
