Gene1,Gene2,EdgeWeight
AMH,AMH,0.09999999999991971
AMH,CBX2,0.45305948360437465
AMH,CTNNB1,0.915237808190544
AMH,DHH,0.983687525597691
AMH,DKK1,0.9475032770452322
AMH,DMRT1,0.9433123971876272
AMH,FGF9,0.9766488943182556
AMH,FOXL2,0.9162751756888818
AMH,GATA4,0.41647533698120315
AMH,NR0B1,0.978960561190657
AMH,NR5A1,0.45545660744649813
AMH,PGD2,0.9814472743350962
AMH,RSPO1,0.9342379951350462
AMH,SOX9,0.9605952121637469
AMH,SRY,0.9323386962300032
AMH,UGR,0.3889528808588235
AMH,WNT4,0.9520648268613542
AMH,WT1mKTS,0.4233059758628883
AMH,WT1pKTS,0.45067811632892407
CBX2,AMH,0.5111122442916924
CBX2,CBX2,0.09999999999991971
CBX2,CTNNB1,0.49881525182164793
CBX2,DHH,0.5273296331591986
CBX2,DKK1,0.543725086860999
CBX2,DMRT1,0.5470238546137917
CBX2,FGF9,0.528967975616794
CBX2,FOXL2,0.5237649540009648
CBX2,GATA4,0.8030730796730814
CBX2,NR0B1,0.49143281547236217
CBX2,NR5A1,0.8509993515615943
CBX2,PGD2,0.5176829362046109
CBX2,RSPO1,0.4961906925880518
CBX2,SOX9,0.5346766954272619
CBX2,SRY,0.49500629078089275
CBX2,UGR,0.7969755537659906
CBX2,WNT4,0.48900780202750166
CBX2,WT1mKTS,0.7962964626299499
CBX2,WT1pKTS,0.819593048485761
CTNNB1,AMH,0.915523888705847
CTNNB1,CBX2,0.44577162552599653
CTNNB1,CTNNB1,0.09999999999991971
CTNNB1,DHH,0.9170254221797347
CTNNB1,DKK1,0.9564811370153412
CTNNB1,DMRT1,0.960915538043826
CTNNB1,FGF9,0.9301429909991329
CTNNB1,FOXL2,0.9847660181070574
CTNNB1,GATA4,0.4159457651805751
CTNNB1,NR0B1,0.9430052428427217
CTNNB1,NR5A1,0.48635332754822386
CTNNB1,PGD2,0.9246588207295295
CTNNB1,RSPO1,0.9897738062679489
CTNNB1,SOX9,0.9382591582919534
CTNNB1,SRY,0.9482313087428373
CTNNB1,UGR,0.4032975521765224
CTNNB1,WNT4,0.9803288201028565
CTNNB1,WT1mKTS,0.44443177437074877
CTNNB1,WT1pKTS,0.5154469371653001
DHH,AMH,0.9835844317725189
DHH,CBX2,0.46873209254548065
DHH,CTNNB1,0.9165995623227607
DHH,DHH,0.09999999999991971
DHH,DKK1,0.9514819195328315
DHH,DMRT1,0.9481799038648734
DHH,FGF9,0.9893763118197876
DHH,FOXL2,0.9155086646010839
DHH,GATA4,0.44134019896599896
DHH,NR0B1,0.9747133697626508
DHH,NR5A1,0.4476522767123227
DHH,PGD2,0.9873226954029622
DHH,RSPO1,0.9362705145765525
DHH,SOX9,0.965312316719893
DHH,SRY,0.9440080414945599
DHH,UGR,0.385330253262145
DHH,WNT4,0.9584894453755424
DHH,WT1mKTS,0.44163741782474314
DHH,WT1pKTS,0.4593072566281274
DKK1,AMH,0.9474709123461781
DKK1,CBX2,0.4847411098849952
DKK1,CTNNB1,0.9564600042176602
DKK1,DHH,0.9515633160189563
DKK1,DKK1,0.09999999999991971
DKK1,DMRT1,0.9856582015833038
DKK1,FGF9,0.9566793490732132
DKK1,FOXL2,0.9374337564257563
DKK1,GATA4,0.4451632499323447
DKK1,NR0B1,0.9065000325684294
DKK1,NR5A1,0.4181545712983902
DKK1,PGD2,0.957983319762261
DKK1,RSPO1,0.918714202637032
DKK1,SOX9,0.9686975302812353
DKK1,SRY,0.9808766388607257
DKK1,UGR,0.4282553116986638
DKK1,WNT4,0.9351200157013322
DKK1,WT1mKTS,0.4629481188298049
DKK1,WT1pKTS,0.48689902327632506
DMRT1,AMH,0.9462626929875676
DMRT1,CBX2,0.4880104432104087
DMRT1,CTNNB1,0.9605170565109498
DMRT1,DHH,0.9482476868192712
DMRT1,DKK1,0.9856388363693258
DMRT1,DMRT1,0.09999999999991971
DMRT1,FGF9,0.9491569431343171
DMRT1,FOXL2,0.9498589283692505
DMRT1,GATA4,0.45770336140983187
DMRT1,NR0B1,0.9114290374701449
DMRT1,NR5A1,0.4201807623840155
DMRT1,PGD2,0.9607532478574069
DMRT1,RSPO1,0.9196787217159311
DMRT1,SOX9,0.980706675425679
DMRT1,SRY,0.9868444738519276
DMRT1,UGR,0.4311978617893084
DMRT1,WNT4,0.9527200232100103
DMRT1,WT1mKTS,0.47331873056769913
DMRT1,WT1pKTS,0.4768114957059935
FGF9,AMH,0.9767728768974386
FGF9,CBX2,0.4727974546761642
FGF9,CTNNB1,0.9301071324892908
FGF9,DHH,0.9895988401207141
FGF9,DKK1,0.9568170872466073
FGF9,DMRT1,0.9493302091191891
FGF9,FGF9,0.09999999999991971
FGF9,FOXL2,0.9095639157823684
FGF9,GATA4,0.41652793332093146
FGF9,NR0B1,0.9684287634654356
FGF9,NR5A1,0.443581795608864
FGF9,PGD2,0.9841866464812088
FGF9,RSPO1,0.9464163218694743
FGF9,SOX9,0.9753725617617501
FGF9,SRY,0.93756659815947
FGF9,UGR,0.394990230660963
FGF9,WNT4,0.9629500007088427
FGF9,WT1mKTS,0.4585925793697946
FGF9,WT1pKTS,0.4578902611534799
FOXL2,AMH,0.9162254133870957
FOXL2,CBX2,0.4649703108073958
FOXL2,CTNNB1,0.9847110437405432
FOXL2,DHH,0.9155548216805811
FOXL2,DKK1,0.937396724639237
FOXL2,DMRT1,0.9498357655001449
FOXL2,FGF9,0.9095561960450133
FOXL2,FOXL2,0.09999999999991971
FOXL2,GATA4,0.416549617310366
FOXL2,NR0B1,0.9379208814300943
FOXL2,NR5A1,0.4887815670734916
FOXL2,PGD2,0.9279175676113567
FOXL2,RSPO1,0.9746333696510802
FOXL2,SOX9,0.9292663587299642
FOXL2,SRY,0.9686150011826162
FOXL2,UGR,0.38000946456195245
FOXL2,WNT4,0.9464831700661535
FOXL2,WT1mKTS,0.42349253143716004
FOXL2,WT1pKTS,0.5283886223116941
GATA4,AMH,0.47347658359509903
GATA4,CBX2,0.806579556133378
GATA4,CTNNB1,0.4679415010134673
GATA4,DHH,0.49893766216808944
GATA4,DKK1,0.5053552865819536
GATA4,DMRT1,0.5157784470105289
GATA4,FGF9,0.4716587287839222
GATA4,FOXL2,0.47439321804586365
GATA4,GATA4,0.09999999999991971
GATA4,NR0B1,0.49098459178188025
GATA4,NR5A1,0.7902847335944876
GATA4,PGD2,0.47369998936098806
GATA4,RSPO1,0.47154928826119025
GATA4,SOX9,0.5159042470613789
GATA4,SRY,0.5070906396492134
GATA4,UGR,0.7609275587807525
GATA4,WNT4,0.47418943463113805
GATA4,WT1mKTS,0.8989871532156344
GATA4,WT1pKTS,0.7843538255524439
NR0B1,AMH,0.9789262481977794
NR0B1,CBX2,0.4325961572489256
NR0B1,CTNNB1,0.9429010178795536
NR0B1,DHH,0.9747789806732596
NR0B1,DKK1,0.9064815839233367
NR0B1,DMRT1,0.9114266269142927
NR0B1,FGF9,0.9682700090771506
NR0B1,FOXL2,0.9379381010814476
NR0B1,GATA4,0.43313601204757385
NR0B1,NR0B1,0.09999999999991971
NR0B1,NR5A1,0.46775220049107563
NR0B1,PGD2,0.9741499052357852
NR0B1,RSPO1,0.960907594487804
NR0B1,SOX9,0.9305426331260002
NR0B1,SRY,0.9049409554621071
NR0B1,UGR,0.4260286946397645
NR0B1,WNT4,0.9701942537194606
NR0B1,WT1mKTS,0.42231734397975823
NR0B1,WT1pKTS,0.4699367079748035
NR5A1,AMH,0.5307743671288342
NR5A1,CBX2,0.8596860793924974
NR5A1,CTNNB1,0.5566071107712965
NR5A1,DHH,0.5234979341488925
NR5A1,DKK1,0.49435858707143027
NR5A1,DMRT1,0.49647094546611714
NR5A1,FGF9,0.5140115024930129
NR5A1,FOXL2,0.5648782856398481
NR5A1,GATA4,0.8033423456355949
NR5A1,NR0B1,0.54383984934405
NR5A1,NR5A1,0.09999999999991971
NR5A1,PGD2,0.5141401297607153
NR5A1,RSPO1,0.5711733758248823
NR5A1,SOX9,0.5447540727155896
NR5A1,SRY,0.5078254196798044
NR5A1,UGR,0.7171400620892341
NR5A1,WNT4,0.5285631386519718
NR5A1,WT1mKTS,0.7725947553948282
NR5A1,WT1pKTS,0.8558242714491369
PGD2,AMH,0.9813189575642911
PGD2,CBX2,0.45865681309575523
PGD2,CTNNB1,0.9242423120943107
PGD2,DHH,0.987293393892541
PGD2,DKK1,0.9578690523755288
PGD2,DMRT1,0.9606537734439792
PGD2,FGF9,0.9841649299846033
PGD2,FOXL2,0.9278381211724062
PGD2,GATA4,0.41569358610696844
PGD2,NR0B1,0.9740556403753415
PGD2,NR5A1,0.43789169720146165
PGD2,PGD2,0.09999999999991971
PGD2,RSPO1,0.941116861751079
PGD2,SOX9,0.9746492965355775
PGD2,SRY,0.9493480586164702
PGD2,UGR,0.3922158032728988
PGD2,WNT4,0.9581922771901896
PGD2,WT1mKTS,0.46361653134631686
PGD2,WT1pKTS,0.4462753779842706
RSPO1,AMH,0.9343434151064721
RSPO1,CBX2,0.4398207842516808
RSPO1,CTNNB1,0.9896739610800991
RSPO1,DHH,0.9364833324417072
RSPO1,DKK1,0.9188755858230762
RSPO1,DMRT1,0.9198139426771321
RSPO1,FGF9,0.9464184061963491
RSPO1,FOXL2,0.9747723269369698
RSPO1,GATA4,0.4161835999727625
RSPO1,NR0B1,0.961047310834958
